publicado,puesto,empresa,ubicacion,modalidad,url,busqueda
Actualizado hace 4 días,Analista de Gobierno de Datos,"SUPERINTENDENCIA DE BANCA, SEGUROS Y AFP","San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-gobierno-de-datos-superintendencia-de-banca-seguros-y-afp-1118418476.html,analista de datos
Actualizado hace 8 días,Analista de Datos QA - Semi Senior,CSTI Corp,"La Victoria, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-qa-semi-senior-csti-corp-1118432129.html,analista de datos
Actualizado hace 8 días,Analista de Datos y Planeamiento,VIETTEL PERU SAC,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-y-planeamiento-viettel-peru-sac-1118417187.html,analista de datos
Actualizado hace más de 15 días,Analista de datos,R&E INNOVA SAC,"Cerro Colorado, Arequipa",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-re-innova-sac-1118403077.html,analista de datos
Actualizado hace 5 días,Analista de Datos / Business Intelligence,Grupo Lucky,"Miraflores, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-business-intelligence-grupo-lucky-1118420221.html,analista de datos
Actualizado hace 11 días,Analista de Integración de Datos/ Analista de Datos Presencial en Planilla,IBR PERU S.A.,"Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-integracion-de-datos-analista-de-datos-presencial-en-planilla-ibr-peru-s.a.-1118410494.html,analista de datos
Actualizado hace más de 15 días,Analista de Calidad de Datos (Banca),INDRA PERU,"San Isidro, Lima",Remoto,https://www.bumeran.com.pe/empleos/analista-de-calidad-de-datos-banca-indra-peru-1118416312.html,analista de datos
Actualizado hace más de 15 días,Analista de Gestión de Datos,Bigmond Group,"Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-gestion-de-datos-bigmond-group-1118408997.html,analista de datos
Actualizado hace 6 días,P7498 Analista NOC Junior- Monitoreo de Base de Datos,METRICA PERU,"San Isidro, Lima",Híbrido,https://www.bumeran.com.pe/empleos/p7498-analista-noc-junior-monitoreo-de-base-de-datos-metrica-peru-1118346386.html,analista de datos
Actualizado hace más de 15 días,ANALISTA DE DATOS JUNIOR,UNIVERSIDAD CATÓLICA SAN PABLO,"Arequipa, Arequipa",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-junior-universidad-catolica-san-pablo-1118404773.html,analista de datos
Actualizado hace 4 días,Analista de Control Interno I Power BI Análisis de Datos,GRUPO EFE,"Santiago de Surco, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-control-interno-i-power-bi-analisis-de-datos-grupo-efe-1118437421.html,analista de datos
Actualizado hace 3 días,Analista de Base de Datos – Calidad | Contact Center,UTP CONTACT CENTER,"Cercado De Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-base-de-datos--calidad-%7C-contact-center-utp-contact-center-1118422574.html,analista de datos
Actualizado hace 3 días,ANALISTA SENIOR DE PROCESAMIENTO DE DATOS/EXPERIENCIA RETAIL / INGLÉS AVANZADO,Grupo Tawa,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-senior-de-procesamiento-de-datos-experiencia-retail-ingles-avanzado-grupo-tawa-1118434680.html,analista de datos
Actualizado hace 8 días,Analista de datos - Analista BI,DELPILZONE,"Pueblo Libre, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-analista-bi-delpilzone-1118208902.html,analista de datos
Actualizado ayer,Analista de Datos/BI y Operaciones – Contact Center (Performance),Prosegur,"Surquillo, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-bi-y-operaciones--contact-center-performance-prosegur-1118428568.html,analista de datos
