Address,Latitude,Longitude
"LIMA, LIMA, CHORRILLOS, JIRÓN NEVADO CARHUAZO S/N II ZONA DELICIAS DE VILLA S/N CHORRILLOS LIMA LIMA ",-12.1987325,-76.9929949
"LIMA, LIMA, CHORRILLOS, AVENIDA AV. PRINCIPAL (ALTURA DE LA CALLE 12) AAHH SAN GENARO AV. PRINCIPAL (ALTURA DE LA CALLE 12) AAHH SAN GENARO CHORRILLOS LIMA LIMA ",-12.1953827,-77.022605
"LIMA, LIMA, CHORRILLOS, CALLE JOSE CARLOS MARIATEGUI S/N S/N CALLE JOSE CARLOS MARIATEGUI S/N CHORRILLOS LIMA LIMA ",-12.1724752,-77.0269112
"LIMA, LIMA, CHORRILLOS, AVENIDA AV. INDEPENDENCIA S/N.AAHH SANTA ISABEL DE VILLA NÚMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.2027454,-76.9794276
"LIMA, LIMA, CHORRILLOS, AVENIDA AV. TÚPAC AMARU MZ. E, LT.1 AV. TÚPAC AMARU MZ. E, LT.1 CHORRILLOS LIMA LIMA ",-12.0384329,-76.9570244
"LIMA, LIMA, CHORRILLOS, AVENIDA AV. 11 S/N AA.HH. SAN JUAN DE LA LIBERTAD S/N AV. 11 S/N AA.HH. SAN JUAN DE LA LIBERTAD CHORRILLOS LIMA LIMA ",-12.1911114,-76.9880805
"LIMA, LIMA, CHORRILLOS, AVENIDA AV. MATEO PUMACAHUA MZ T S/N LOTE 37 SECTOR 01 NÚMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.1921747,-76.97242279999999
"LIMA, LIMA, CHORRILLOS, PROLONGACIÓN AV.EL SOL S/N AA.HH.SANTA TERESA DE CHORRILLOS CHORRILLOS LIMA LIMA ",-12.1870952,-77.01758400000001
"LIMA, LIMA, CHORRILLOS, CALLE JAUJA S/N. S/N CALLE JAUJA S/N. CHORRILLOS LIMA LIMA ",-12.18781,-77.0131073
"LIMA, LIMA, CHORRILLOS, AVENIDA AV. HUANCAVELICA MZ.E,LT.1 AAHH NUEVA CALEDONIA DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.2003268,-77.0296707
"LIMA, LIMA, CHORRILLOS, CALLE ISLAS GUYANAS MZ I-6 LOTE 30 URB. LOS CEDROS DE VILLA CALLE ISLAS GUYANAS MZ I-6 LOTE 30 URB. LOS CEDROS DE VILLA CHORRILLOS LIMA LIMA ",-11.9758093,-77.1001694
"LIMA, LIMA, CHORRILLOS, AAHH DEFENSORES DE LIMA S/N, FRENTE A LA MZ D S/N AAHH DEFENSORES DE LIMA S/N, FRENTE A LA MZ D CHORRILLOS LIMA LIMA ",-12.1445185,-77.02243729999999
"LIMA, LIMA, CHORRILLOS, CALLE FERROCARRIL S/N CHORRILLOS LIMA LIMA ",-12.1665613,-77.02338619999999
