ubigeo,departamento,provincia,distrito,casos_dengue,n_establecimientos,camas,casos_por_establecimiento
160606,Loreto,UCAYALI,VARGAS GUERRA,27.0,1.0,0.0,27.0
160701,Loreto,DATEM DEL MARAÑON,BARRANCA,467.0,7.0,19.0,66.71428571428571
160703,Loreto,DATEM DEL MARAÑON,MANSERICHE,128.0,9.0,0.0,14.222222222222221
160705,Loreto,DATEM DEL MARAÑON,PASTAZA,8.0,9.0,0.0,0.8888888888888888
160706,Loreto,DATEM DEL MARAÑON,ANDOAS,28.0,7.0,0.0,4.0
160801,Loreto,PUTUMAYO,PUTUMAYO,65.0,12.0,0.0,5.416666666666667
160803,Loreto,PUTUMAYO,TENIENTE MANUEL CLAVERO,192.0,5.0,0.0,38.4
170101,Madre De Dios,TAMBOPATA,TAMBOPATA,8684.0,24.0,131.0,361.8333333333333
170102,Madre De Dios,TAMBOPATA,INAMBARI,1724.0,13.0,0.0,132.6153846153846
170103,Madre De Dios,TAMBOPATA,LAS PIEDRAS,1586.0,11.0,0.0,144.1818181818182
170104,Madre De Dios,TAMBOPATA,LABERINTO,559.0,8.0,0.0,69.875
170201,Madre De Dios,MANU,MANU,30.0,7.0,0.0,4.285714285714286
170203,Madre De Dios,MANU,MADRE DE DIOS,530.0,9.0,0.0,58.888888888888886
170204,Madre De Dios,MANU,HUEPETUHE,612.0,6.0,0.0,102.0
170301,Madre De Dios,TAHUAMANU,IÑAPARI,300.0,4.0,0.0,75.0
170302,Madre De Dios,TAHUAMANU,IBERIA,605.0,7.0,25.0,86.42857142857143
170303,Madre De Dios,TAHUAMANU,TAHUAMANU,248.0,8.0,0.0,31.0
180101,Moquegua,MARISCAL NIETO,MOQUEGUA,1.0,14.0,95.0,0.07142857142857142
190301,Pasco,OXAPAMPA,OXAPAMPA,14.0,10.0,11.0,1.4
190304,Pasco,OXAPAMPA,PALCAZU,37.0,27.0,0.0,1.3703703703703705
190305,Pasco,OXAPAMPA,POZUZO,26.0,14.0,0.0,1.8571428571428572
190306,Pasco,OXAPAMPA,PUERTO BERMUDEZ,210.0,23.0,0.0,9.130434782608695
190307,Pasco,OXAPAMPA,VILLA RICA,28.0,17.0,0.0,1.6470588235294117
190308,Pasco,OXAPAMPA,CONSTITUCION,550.0,13.0,0.0,42.30769230769231
200101,Piura,PIURA,PIURA,8847.0,7.0,103.0,1263.857142857143
200104,Piura,PIURA,CASTILLA,9327.0,14.0,195.0,666.2142857142857
200105,Piura,PIURA,CATACAOS,1779.0,12.0,0.0,148.25
200107,Piura,PIURA,CURA MORI,698.0,4.0,0.0,174.5
200108,Piura,PIURA,EL TALLAN,14.0,2.0,0.0,7.0
200109,Piura,PIURA,LA ARENA,655.0,8.0,0.0,81.875
200110,Piura,PIURA,LA UNION,458.0,6.0,15.0,76.33333333333333
200111,Piura,PIURA,LAS LOMAS,575.0,15.0,0.0,38.333333333333336
200114,Piura,PIURA,TAMBO GRANDE,4395.0,25.0,0.0,175.8
200115,Piura,PIURA,VEINTISEIS DE OCTUBRE,5194.0,9.0,102.0,577.1111111111111
200201,Piura,AYABACA,AYABACA,29.0,30.0,0.0,0.9666666666666667
200202,Piura,AYABACA,FRIAS,6.0,9.0,0.0,0.6666666666666666
200203,Piura,AYABACA,JILILI,2.0,3.0,0.0,0.6666666666666666
200206,Piura,AYABACA,PACAIPAMPA,3.0,8.0,0.0,0.375
200207,Piura,AYABACA,PAIMAS,260.0,4.0,0.0,65.0
200208,Piura,AYABACA,SAPILLICA,4.0,4.0,0.0,1.0
200210,Piura,AYABACA,SUYO,104.0,10.0,0.0,10.4
200301,Piura,HUANCABAMBA,HUANCABAMBA,18.0,9.0,0.0,2.0
