Año,Semana,Eventos o daños,Departamento,Distrito,Provincia,Ubigeo,Casos
2018,26,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,26,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,26,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,26,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,27,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,27,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,27,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,27,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,27,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,28,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,28,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,28,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,28,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,28,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,29,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,29,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,29,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,29,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,29,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,30,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,30,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,30,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,30,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,30,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,31,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,31,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,31,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,31,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,31,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,32,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,32,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,32,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,32,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,32,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,33,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,33,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,33,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2020,33,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,33,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,33,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,33,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,33,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,33,Dengue,LORETO,FERNANDO LORES,MAYNAS,160103,0
2020,33,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,34,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,34,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,34,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,34,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,34,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,34,Dengue,LORETO,FERNANDO LORES,MAYNAS,160103,0
2020,34,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,34,Dengue,LORETO,EMILIO SAN MARTIN,REQUENA,160504,0
2020,34,Dengue,LORETO,INAHUAYA,UCAYALI,160602,0
2020,35,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,35,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,35,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,35,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,35,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,35,Dengue,LORETO,FERNANDO LORES,MAYNAS,160103,0
2020,35,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,35,Dengue,LORETO,EMILIO SAN MARTIN,REQUENA,160504,0
