,idx,travel_time_best_guess,travel_time_pessimistic,travel_time_optimistic,travel_distance_best_guess,travel_distance_pessimistic,travel_distance_optimistic
599,599.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
600,600.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
601,601.0,2417.0,,2266.0,13.9,,13.9
602,602.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
603,603.0,2622.0,2871.0,2460.0,14.1,14.1,14.1
604,604.0,2805.0,2993.0,2643.0,14.4,14.4,14.4
605,605.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
606,606.0,2610.0,2749.0,2485.0,14.6,14.6,14.6
607,607.0,2359.0,2479.0,2253.0,13.6,13.6,13.6
608,608.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
609,609.0,2434.0,2562.0,2319.0,13.8,13.8,13.8
610,610.0,2388.0,2577.0,2251.0,13.8,13.8,13.8
611,611.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
612,612.0,2518.0,2736.0,2314.0,14.5,14.5,14.5
613,613.0,2736.0,2898.0,2573.0,14.1,14.1,14.1
614,614.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
615,615.0,2444.0,2626.0,2296.0,13.5,13.5,13.5
616,616.0,2318.0,2457.0,2199.0,13.2,13.2,13.2
617,617.0,2358.0,2573.0,2221.0,13.8,13.8,13.8
618,618.0,2569.0,2736.0,2419.0,13.9,13.9,13.9
619,619.0,2310.0,2439.0,2186.0,13.4,13.4,13.4
620,620.0,3080.0,3260.0,2886.0,15.7,15.7,15.7
621,621.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
622,622.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
623,623.0,2378.0,2603.0,2216.0,13.9,13.9,13.9
624,624.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
625,625.0,2769.0,2934.0,2612.0,14.3,14.3,14.3
626,626.0,2697.0,2864.0,2539.0,14.0,14.0,14.0
627,627.0,3201.0,3694.0,2873.0,18.0,18.0,18.0
628,628.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
629,629.0,2285.0,2435.0,2153.0,13.4,13.4,13.4
630,630.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
631,631.0,2595.0,2832.0,2399.0,14.8,14.8,14.8
632,632.0,2238.0,2413.0,2101.0,13.2,13.2,13.2
633,633.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
634,634.0,2435.0,2617.0,2287.0,13.5,13.5,13.5
635,635.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
636,636.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
637,637.0,2298.0,2425.0,2180.0,13.1,13.1,13.1
638,638.0,2896.0,3301.0,2625.0,16.3,16.3,16.3
639,639.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
640,640.0,2579.0,2745.0,2428.0,13.9,13.9,13.9
641,641.0,2326.0,2453.0,2208.0,13.2,13.2,13.2
642,642.0,2181.0,2214.0,2118.0,12.5,12.5,12.5
643,643.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
644,644.0,2331.0,2461.0,2208.0,13.5,13.5,13.5
645,645.0,2554.0,2794.0,2338.0,14.6,14.6,14.6
646,646.0,2676.0,2830.0,2516.0,13.8,13.8,13.8
647,647.0,2606.0,2833.0,2372.0,15.1,15.1,15.1
648,648.0,2542.0,2665.0,2440.0,14.3,14.3,14.3
649,649.0,2687.0,2848.0,2524.0,13.9,13.9,13.9
650,650.0,2778.0,2927.0,2637.0,15.4,15.4,15.4
651,651.0,2253.0,2428.0,2116.0,13.2,13.2,13.2
652,652.0,2794.0,2992.0,2639.0,14.4,14.4,14.4
653,653.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
654,654.0,2610.0,2789.0,2459.0,14.1,14.1,14.1
