ubigeo,departamento,provincia,distrito,casos_dengue,n_establecimientos
110302,ICA,NASCA,CHANGUILLO,20.0,4.0
110303,ICA,NASCA,EL INGENIO,20.0,3.0
110304,ICA,NASCA,MARCONA,9.0,3.0
110305,ICA,NASCA,VISTA ALEGRE,917.0,5.0
110401,ICA,PALPA,PALPA,949.0,6.0
110402,ICA,PALPA,LLIPATA,262.0,1.0
110403,ICA,PALPA,RIO GRANDE,191.0,4.0
110501,ICA,PISCO,PISCO,412.0,5.0
110404,ICA,PALPA,SANTA CRUZ,23.0,3.0
110102,ICA,ICA,LA TINGUIÑA,1111.0,3.0
110103,ICA,ICA,LOS AQUIJES,545.0,5.0
110104,ICA,ICA,OCUCAJE,91.0,4.0
110105,ICA,ICA,PACHACUTEC,251.0,2.0
110106,ICA,ICA,PARCONA,1341.0,3.0
110110,ICA,ICA,SAN JUAN BAUTISTA,154.0,3.0
110111,ICA,ICA,SANTIAGO,165.0,5.0
080910,CUSCO,LA CONVENCION,PICHARI,2781.0,10.0
080901,CUSCO,LA CONVENCION,SANTA ANA,1146.0,7.0
080914,CUSCO,LA CONVENCION,MEGANTONI,87.0,16.0
080903,CUSCO,LA CONVENCION,HUAYOPATA,1.0,6.0
080904,CUSCO,LA CONVENCION,MARANURA,43.0,3.0
080906,CUSCO,LA CONVENCION,QUELLOUNO,74.0,8.0
080408,CUSCO,CALCA,YANATILE,2.0,11.0
080907,CUSCO,LA CONVENCION,KIMBIRI,1369.0,10.0
080908,CUSCO,LA CONVENCION,SANTA TERESA,2.0,3.0
080909,CUSCO,LA CONVENCION,VILCABAMBA,2.0,11.0
081106,CUSCO,PAUCARTAMBO,KOSÑIPATA,7.0,2.0
050110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,3.0,5.0
050101,AYACUCHO,HUAMANGA,AYACUCHO,12.0,12.0
050502,AYACUCHO,LA MAR,ANCO,212.0,8.0
050501,AYACUCHO,LA MAR,SAN MIGUEL,3.0,6.0
110202,ICA,CHINCHA,ALTO LARAN,25.0,3.0
110204,ICA,CHINCHA,CHINCHA BAJA,16.0,3.0
110205,ICA,CHINCHA,EL CARMEN,28.0,4.0
110206,ICA,CHINCHA,GROCIO PRADO,245.0,3.0
110211,ICA,CHINCHA,TAMBO DE MORA,9.0,2.0
021803,ANCASH,SANTA,COISHCO,637.0,2.0
010703,AMAZONAS,UTCUBAMBA,CUMBA,26.0,10.0
010702,AMAZONAS,UTCUBAMBA,CAJARURO,115.0,32.0
010401,AMAZONAS,CONDORCANQUI,NIEVA,581.0,29.0
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,6.0,12.0
221005,SAN MARTIN,TOCACHE,UCHIZA,156.0,13.0
221002,SAN MARTIN,TOCACHE,NUEVO PROGRESO,140.0,6.0
221004,SAN MARTIN,TOCACHE,SHUNTE,4.0,1.0
221001,SAN MARTIN,TOCACHE,TOCACHE,767.0,10.0
221003,SAN MARTIN,TOCACHE,POLVORA,162.0,7.0
220602,SAN MARTIN,MARISCAL CACERES,CAMPANILLA,337.0,7.0
220605,SAN MARTIN,MARISCAL CACERES,PAJARILLO,208.0,5.0
220601,SAN MARTIN,MARISCAL CACERES,JUANJUI,1498.0,8.0
220204,SAN MARTIN,BELLAVISTA,HUALLAGA,54.0,2.0
220203,SAN MARTIN,BELLAVISTA,BAJO BIAVO,85.0,10.0
220405,SAN MARTIN,HUALLAGA,SACANCHE,31.0,1.0
220406,SAN MARTIN,HUALLAGA,TINGO DE SAPOSOA,37.0,1.0
220206,SAN MARTIN,BELLAVISTA,SAN RAFAEL,127.0,5.0
220403,SAN MARTIN,HUALLAGA,EL ESLABON,14.0,2.0
220404,SAN MARTIN,HUALLAGA,PISCOYACU,11.0,2.0
