ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
PARTIDO NACIONALISTA PERUANO,11,4.400%,2.957%,AMAZONAS,LUYA,SAN JERONIMO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",3,1.200%,0.806%,AMAZONAS,LUYA,SAN JERONIMO
PARTIDO MORADO,8,3.200%,2.151%,AMAZONAS,LUYA,SAN JERONIMO
PERU PATRIA SEGURA,3,1.200%,0.806%,AMAZONAS,LUYA,SAN JERONIMO
VICTORIA NACIONAL,12,4.800%,3.226%,AMAZONAS,LUYA,SAN JERONIMO
ACCION POPULAR,37,14.800%,9.946%,AMAZONAS,LUYA,SAN JERONIMO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,10,4.000%,2.688%,AMAZONAS,LUYA,SAN JERONIMO
PODEMOS PERU,5,2.000%,1.344%,AMAZONAS,LUYA,SAN JERONIMO
JUNTOS POR EL PERU,20,8.000%,5.376%,AMAZONAS,LUYA,SAN JERONIMO
PARTIDO POPULAR CRISTIANO - PPC,1,0.400%,0.269%,AMAZONAS,LUYA,SAN JERONIMO
FUERZA POPULAR,46,18.400%,12.366%,AMAZONAS,LUYA,SAN JERONIMO
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,LUYA,SAN JERONIMO
RENOVACION POPULAR,17,6.800%,4.570%,AMAZONAS,LUYA,SAN JERONIMO
RENACIMIENTO UNIDO NACIONAL,3,1.200%,0.806%,AMAZONAS,LUYA,SAN JERONIMO
PARTIDO DEMOCRATICO SOMOS PERU,10,4.000%,2.688%,AMAZONAS,LUYA,SAN JERONIMO
PARTIDO POLITICO NACIONAL PERU LIBRE,41,16.400%,11.022%,AMAZONAS,LUYA,SAN JERONIMO
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,SAN JERONIMO
ALIANZA PARA EL PROGRESO,23,9.200%,6.183%,AMAZONAS,LUYA,SAN JERONIMO
PARTIDO NACIONALISTA PERUANO,11,4.400%,2.957%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",3,1.200%,0.806%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
PARTIDO MORADO,8,3.200%,2.151%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
PERU PATRIA SEGURA,3,1.200%,0.806%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
VICTORIA NACIONAL,12,4.800%,3.226%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
ACCION POPULAR,37,14.800%,9.946%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,10,4.000%,2.688%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
PODEMOS PERU,5,2.000%,1.344%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
JUNTOS POR EL PERU,20,8.000%,5.376%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
PARTIDO POPULAR CRISTIANO - PPC,1,0.400%,0.269%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
FUERZA POPULAR,46,18.400%,12.366%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
RENOVACION POPULAR,17,6.800%,4.570%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
RENACIMIENTO UNIDO NACIONAL,3,1.200%,0.806%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
PARTIDO DEMOCRATICO SOMOS PERU,10,4.000%,2.688%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
PARTIDO POLITICO NACIONAL PERU LIBRE,41,16.400%,11.022%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
ALIANZA PARA EL PROGRESO,23,9.200%,6.183%,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA
PARTIDO NACIONALISTA PERUANO,8,4.301%,3.213%,AMAZONAS,LUYA,SANTA CATALINA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,0.538%,0.402%,AMAZONAS,LUYA,SANTA CATALINA
PARTIDO MORADO,19,10.215%,7.631%,AMAZONAS,LUYA,SANTA CATALINA
PERU PATRIA SEGURA,1,0.538%,0.402%,AMAZONAS,LUYA,SANTA CATALINA
VICTORIA NACIONAL,9,4.839%,3.614%,AMAZONAS,LUYA,SANTA CATALINA
ACCION POPULAR,12,6.452%,4.819%,AMAZONAS,LUYA,SANTA CATALINA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,2,1.075%,0.803%,AMAZONAS,LUYA,SANTA CATALINA
PODEMOS PERU,5,2.688%,2.008%,AMAZONAS,LUYA,SANTA CATALINA
JUNTOS POR EL PERU,15,8.065%,6.024%,AMAZONAS,LUYA,SANTA CATALINA
PARTIDO POPULAR CRISTIANO - PPC,1,0.538%,0.402%,AMAZONAS,LUYA,SANTA CATALINA
FUERZA POPULAR,58,31.183%,23.293%,AMAZONAS,LUYA,SANTA CATALINA
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,LUYA,SANTA CATALINA
RENOVACION POPULAR,8,4.301%,3.213%,AMAZONAS,LUYA,SANTA CATALINA
RENACIMIENTO UNIDO NACIONAL,1,0.538%,0.402%,AMAZONAS,LUYA,SANTA CATALINA
PARTIDO DEMOCRATICO SOMOS PERU,1,0.538%,0.402%,AMAZONAS,LUYA,SANTA CATALINA
PARTIDO POLITICO NACIONAL PERU LIBRE,28,15.054%,11.245%,AMAZONAS,LUYA,SANTA CATALINA
DEMOCRACIA DIRECTA,1,0.538%,0.402%,AMAZONAS,LUYA,SANTA CATALINA
ALIANZA PARA EL PROGRESO,16,8.602%,6.426%,AMAZONAS,LUYA,SANTA CATALINA
PARTIDO NACIONALISTA PERUANO,7,5.738%,3.286%,AMAZONAS,LUYA,SANTO TOMAS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5,4.098%,2.347%,AMAZONAS,LUYA,SANTO TOMAS
PARTIDO MORADO,2,1.639%,0.939%,AMAZONAS,LUYA,SANTO TOMAS
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,LUYA,SANTO TOMAS
VICTORIA NACIONAL,0,0.000%,0.000%,AMAZONAS,LUYA,SANTO TOMAS
ACCION POPULAR,20,16.393%,9.390%,AMAZONAS,LUYA,SANTO TOMAS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,6,4.918%,2.817%,AMAZONAS,LUYA,SANTO TOMAS
PODEMOS PERU,0,0.000%,0.000%,AMAZONAS,LUYA,SANTO TOMAS
JUNTOS POR EL PERU,14,11.475%,6.573%,AMAZONAS,LUYA,SANTO TOMAS
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,LUYA,SANTO TOMAS
FUERZA POPULAR,30,24.590%,14.085%,AMAZONAS,LUYA,SANTO TOMAS
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,LUYA,SANTO TOMAS
RENOVACION POPULAR,5,4.098%,2.347%,AMAZONAS,LUYA,SANTO TOMAS
RENACIMIENTO UNIDO NACIONAL,2,1.639%,0.939%,AMAZONAS,LUYA,SANTO TOMAS
PARTIDO DEMOCRATICO SOMOS PERU,1,0.820%,0.469%,AMAZONAS,LUYA,SANTO TOMAS
PARTIDO POLITICO NACIONAL PERU LIBRE,18,14.754%,8.451%,AMAZONAS,LUYA,SANTO TOMAS
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,SANTO TOMAS
ALIANZA PARA EL PROGRESO,12,9.836%,5.634%,AMAZONAS,LUYA,SANTO TOMAS
PARTIDO NACIONALISTA PERUANO,24,5.010%,3.620%,AMAZONAS,LUYA,TINGO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",4,0.835%,0.603%,AMAZONAS,LUYA,TINGO
PARTIDO MORADO,10,2.088%,1.508%,AMAZONAS,LUYA,TINGO
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,LUYA,TINGO
VICTORIA NACIONAL,8,1.670%,1.207%,AMAZONAS,LUYA,TINGO
ACCION POPULAR,46,9.603%,6.938%,AMAZONAS,LUYA,TINGO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,2,0.418%,0.302%,AMAZONAS,LUYA,TINGO
PODEMOS PERU,29,6.054%,4.374%,AMAZONAS,LUYA,TINGO
JUNTOS POR EL PERU,48,10.021%,7.240%,AMAZONAS,LUYA,TINGO
PARTIDO POPULAR CRISTIANO - PPC,1,0.209%,0.151%,AMAZONAS,LUYA,TINGO
FUERZA POPULAR,129,26.931%,19.457%,AMAZONAS,LUYA,TINGO
UNION POR EL PERU,15,3.132%,2.262%,AMAZONAS,LUYA,TINGO
RENOVACION POPULAR,17,3.549%,2.564%,AMAZONAS,LUYA,TINGO
RENACIMIENTO UNIDO NACIONAL,12,2.505%,1.810%,AMAZONAS,LUYA,TINGO
PARTIDO DEMOCRATICO SOMOS PERU,17,3.549%,2.564%,AMAZONAS,LUYA,TINGO
PARTIDO POLITICO NACIONAL PERU LIBRE,84,17.537%,12.670%,AMAZONAS,LUYA,TINGO
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,TINGO
ALIANZA PARA EL PROGRESO,33,6.889%,4.977%,AMAZONAS,LUYA,TINGO
PARTIDO NACIONALISTA PERUANO,30,3.584%,2.459%,AMAZONAS,LUYA,TRITA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",19,2.270%,1.557%,AMAZONAS,LUYA,TRITA
PARTIDO MORADO,4,0.478%,0.328%,AMAZONAS,LUYA,TRITA
PERU PATRIA SEGURA,2,0.239%,0.164%,AMAZONAS,LUYA,TRITA
VICTORIA NACIONAL,43,5.137%,3.525%,AMAZONAS,LUYA,TRITA
ACCION POPULAR,75,8.961%,6.148%,AMAZONAS,LUYA,TRITA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,29,3.465%,2.377%,AMAZONAS,LUYA,TRITA
PODEMOS PERU,17,2.031%,1.393%,AMAZONAS,LUYA,TRITA
JUNTOS POR EL PERU,66,7.885%,5.410%,AMAZONAS,LUYA,TRITA
PARTIDO POPULAR CRISTIANO - PPC,5,0.597%,0.410%,AMAZONAS,LUYA,TRITA
FUERZA POPULAR,156,18.638%,12.787%,AMAZONAS,LUYA,TRITA
UNION POR EL PERU,5,0.597%,0.410%,AMAZONAS,LUYA,TRITA
RENOVACION POPULAR,49,5.854%,4.016%,AMAZONAS,LUYA,TRITA
RENACIMIENTO UNIDO NACIONAL,7,0.836%,0.574%,AMAZONAS,LUYA,TRITA
PARTIDO DEMOCRATICO SOMOS PERU,8,0.956%,0.656%,AMAZONAS,LUYA,TRITA
PARTIDO POLITICO NACIONAL PERU LIBRE,210,25.090%,17.213%,AMAZONAS,LUYA,TRITA
DEMOCRACIA DIRECTA,3,0.358%,0.246%,AMAZONAS,LUYA,TRITA
ALIANZA PARA EL PROGRESO,109,13.023%,8.934%,AMAZONAS,LUYA,TRITA
PARTIDO NACIONALISTA PERUANO,26,2.592%,1.711%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",9,0.897%,0.592%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
PARTIDO MORADO,29,2.891%,1.908%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
VICTORIA NACIONAL,123,12.263%,8.092%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
ACCION POPULAR,211,21.037%,13.882%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,72,7.178%,4.737%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
PODEMOS PERU,11,1.097%,0.724%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
JUNTOS POR EL PERU,84,8.375%,5.526%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
PARTIDO POPULAR CRISTIANO - PPC,1,0.100%,0.066%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
FUERZA POPULAR,135,13.460%,8.882%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
UNION POR EL PERU,4,0.399%,0.263%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
RENOVACION POPULAR,61,6.082%,4.013%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
RENACIMIENTO UNIDO NACIONAL,5,0.499%,0.329%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
PARTIDO DEMOCRATICO SOMOS PERU,76,7.577%,5.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
PARTIDO POLITICO NACIONAL PERU LIBRE,80,7.976%,5.263%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
DEMOCRACIA DIRECTA,2,0.199%,0.132%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
ALIANZA PARA EL PROGRESO,74,7.378%,4.868%,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
PARTIDO NACIONALISTA PERUANO,26,2.592%,1.711%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",9,0.897%,0.592%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
PARTIDO MORADO,29,2.891%,1.908%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
VICTORIA NACIONAL,123,12.263%,8.092%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
ACCION POPULAR,211,21.037%,13.882%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,72,7.178%,4.737%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
PODEMOS PERU,11,1.097%,0.724%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
JUNTOS POR EL PERU,84,8.375%,5.526%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
PARTIDO POPULAR CRISTIANO - PPC,1,0.100%,0.066%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
FUERZA POPULAR,135,13.460%,8.882%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
UNION POR EL PERU,4,0.399%,0.263%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
RENOVACION POPULAR,61,6.082%,4.013%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
RENACIMIENTO UNIDO NACIONAL,5,0.499%,0.329%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
PARTIDO DEMOCRATICO SOMOS PERU,76,7.577%,5.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
PARTIDO POLITICO NACIONAL PERU LIBRE,80,7.976%,5.263%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
DEMOCRACIA DIRECTA,2,0.199%,0.132%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
ALIANZA PARA EL PROGRESO,74,7.378%,4.868%,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
PARTIDO NACIONALISTA PERUANO,25,3.666%,2.668%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",7,1.026%,0.747%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
PARTIDO MORADO,11,1.613%,1.174%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
VICTORIA NACIONAL,27,3.959%,2.882%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
ACCION POPULAR,188,27.566%,20.064%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,72,10.557%,7.684%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
PODEMOS PERU,11,1.613%,1.174%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
JUNTOS POR EL PERU,78,11.437%,8.324%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
PARTIDO POPULAR CRISTIANO - PPC,3,0.440%,0.320%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
FUERZA POPULAR,51,7.478%,5.443%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
UNION POR EL PERU,1,0.147%,0.107%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
RENOVACION POPULAR,58,8.504%,6.190%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
RENACIMIENTO UNIDO NACIONAL,5,0.733%,0.534%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
PARTIDO DEMOCRATICO SOMOS PERU,23,3.372%,2.455%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
PARTIDO POLITICO NACIONAL PERU LIBRE,82,12.023%,8.751%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
DEMOCRACIA DIRECTA,1,0.147%,0.107%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
ALIANZA PARA EL PROGRESO,39,5.718%,4.162%,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
PARTIDO NACIONALISTA PERUANO,22,2.799%,2.081%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",11,1.399%,1.041%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
PARTIDO MORADO,18,2.290%,1.703%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
PERU PATRIA SEGURA,2,0.254%,0.189%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
VICTORIA NACIONAL,36,4.580%,3.406%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
ACCION POPULAR,284,36.132%,26.868%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,68,8.651%,6.433%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
PODEMOS PERU,6,0.763%,0.568%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
JUNTOS POR EL PERU,58,7.379%,5.487%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
PARTIDO POPULAR CRISTIANO - PPC,2,0.254%,0.189%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
FUERZA POPULAR,81,10.305%,7.663%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
UNION POR EL PERU,4,0.509%,0.378%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
RENOVACION POPULAR,38,4.835%,3.595%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
RENACIMIENTO UNIDO NACIONAL,1,0.127%,0.095%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
PARTIDO DEMOCRATICO SOMOS PERU,33,4.198%,3.122%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
PARTIDO POLITICO NACIONAL PERU LIBRE,73,9.288%,6.906%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
DEMOCRACIA DIRECTA,1,0.127%,0.095%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
ALIANZA PARA EL PROGRESO,48,6.107%,4.541%,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
PARTIDO NACIONALISTA PERUANO,13,5.652%,3.988%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,0.435%,0.307%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
PARTIDO MORADO,5,2.174%,1.534%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
PERU PATRIA SEGURA,1,0.435%,0.307%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
VICTORIA NACIONAL,24,10.435%,7.362%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
ACCION POPULAR,88,38.261%,26.994%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,9,3.913%,2.761%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
PODEMOS PERU,4,1.739%,1.227%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
JUNTOS POR EL PERU,18,7.826%,5.521%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
FUERZA POPULAR,13,5.652%,3.988%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
UNION POR EL PERU,2,0.870%,0.613%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
RENOVACION POPULAR,16,6.957%,4.908%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
RENACIMIENTO UNIDO NACIONAL,3,1.304%,0.920%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
PARTIDO DEMOCRATICO SOMOS PERU,15,6.522%,4.601%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
PARTIDO POLITICO NACIONAL PERU LIBRE,11,4.783%,3.374%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
ALIANZA PARA EL PROGRESO,7,3.043%,2.147%,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
PARTIDO NACIONALISTA PERUANO,176,7.082%,4.878%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",58,2.334%,1.608%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
PARTIDO MORADO,30,1.207%,0.831%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
PERU PATRIA SEGURA,6,0.241%,0.166%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
VICTORIA NACIONAL,118,4.748%,3.271%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
ACCION POPULAR,403,16.217%,11.170%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,63,2.535%,1.746%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
PODEMOS PERU,30,1.207%,0.831%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
JUNTOS POR EL PERU,236,9.497%,6.541%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
PARTIDO POPULAR CRISTIANO - PPC,4,0.161%,0.111%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
FUERZA POPULAR,261,10.503%,7.234%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
UNION POR EL PERU,19,0.765%,0.527%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
RENOVACION POPULAR,98,3.944%,2.716%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
RENACIMIENTO UNIDO NACIONAL,10,0.402%,0.277%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
PARTIDO DEMOCRATICO SOMOS PERU,168,6.761%,4.656%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
PARTIDO POLITICO NACIONAL PERU LIBRE,593,23.863%,16.436%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
DEMOCRACIA DIRECTA,5,0.201%,0.139%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
ALIANZA PARA EL PROGRESO,207,8.330%,5.737%,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
PARTIDO NACIONALISTA PERUANO,36,2.059%,1.491%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",12,0.686%,0.497%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
PARTIDO MORADO,24,1.373%,0.994%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
PERU PATRIA SEGURA,3,0.172%,0.124%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
VICTORIA NACIONAL,120,6.865%,4.969%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
ACCION POPULAR,392,22.426%,16.232%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,146,8.352%,6.046%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
PODEMOS PERU,26,1.487%,1.077%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
JUNTOS POR EL PERU,131,7.494%,5.424%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
PARTIDO POPULAR CRISTIANO - PPC,9,0.515%,0.373%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
FUERZA POPULAR,142,8.124%,5.880%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
UNION POR EL PERU,16,0.915%,0.663%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
RENOVACION POPULAR,141,8.066%,5.839%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
RENACIMIENTO UNIDO NACIONAL,4,0.229%,0.166%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
PARTIDO DEMOCRATICO SOMOS PERU,134,7.666%,5.549%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
PARTIDO POLITICO NACIONAL PERU LIBRE,214,12.243%,8.861%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
DEMOCRACIA DIRECTA,4,0.229%,0.166%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
ALIANZA PARA EL PROGRESO,194,11.098%,8.033%,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
PARTIDO NACIONALISTA PERUANO,48,20.339%,14.724%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,2.542%,1.840%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
