ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
FUERZA POPULAR,34,9.687%,6.827%,AMAZONAS,BONGARA,COROSHA
UNION POR EL PERU,4,1.140%,0.803%,AMAZONAS,BONGARA,COROSHA
RENOVACION POPULAR,16,4.558%,3.213%,AMAZONAS,BONGARA,COROSHA
RENACIMIENTO UNIDO NACIONAL,2,0.570%,0.402%,AMAZONAS,BONGARA,COROSHA
PARTIDO DEMOCRATICO SOMOS PERU,12,3.419%,2.410%,AMAZONAS,BONGARA,COROSHA
PARTIDO POLITICO NACIONAL PERU LIBRE,172,49.003%,34.538%,AMAZONAS,BONGARA,COROSHA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,COROSHA
ALIANZA PARA EL PROGRESO,26,7.407%,5.221%,AMAZONAS,BONGARA,COROSHA
PARTIDO NACIONALISTA PERUANO,14,5.091%,3.318%,AMAZONAS,BONGARA,CUISPES
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.727%,0.474%,AMAZONAS,BONGARA,CUISPES
PARTIDO MORADO,4,1.455%,0.948%,AMAZONAS,BONGARA,CUISPES
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,BONGARA,CUISPES
VICTORIA NACIONAL,20,7.273%,4.739%,AMAZONAS,BONGARA,CUISPES
ACCION POPULAR,39,14.182%,9.242%,AMAZONAS,BONGARA,CUISPES
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,4,1.455%,0.948%,AMAZONAS,BONGARA,CUISPES
PODEMOS PERU,10,3.636%,2.370%,AMAZONAS,BONGARA,CUISPES
JUNTOS POR EL PERU,33,12.000%,7.820%,AMAZONAS,BONGARA,CUISPES
PARTIDO POPULAR CRISTIANO - PPC,1,0.364%,0.237%,AMAZONAS,BONGARA,CUISPES
FUERZA POPULAR,19,6.909%,4.502%,AMAZONAS,BONGARA,CUISPES
UNION POR EL PERU,12,4.364%,2.844%,AMAZONAS,BONGARA,CUISPES
RENOVACION POPULAR,20,7.273%,4.739%,AMAZONAS,BONGARA,CUISPES
RENACIMIENTO UNIDO NACIONAL,2,0.727%,0.474%,AMAZONAS,BONGARA,CUISPES
PARTIDO DEMOCRATICO SOMOS PERU,6,2.182%,1.422%,AMAZONAS,BONGARA,CUISPES
PARTIDO POLITICO NACIONAL PERU LIBRE,71,25.818%,16.825%,AMAZONAS,BONGARA,CUISPES
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,CUISPES
ALIANZA PARA EL PROGRESO,18,6.545%,4.265%,AMAZONAS,BONGARA,CUISPES
PARTIDO NACIONALISTA PERUANO,38,1.874%,1.346%,AMAZONAS,BONGARA,FLORIDA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",9,0.444%,0.319%,AMAZONAS,BONGARA,FLORIDA
PARTIDO MORADO,17,0.838%,0.602%,AMAZONAS,BONGARA,FLORIDA
PERU PATRIA SEGURA,2,0.099%,0.071%,AMAZONAS,BONGARA,FLORIDA
VICTORIA NACIONAL,47,2.318%,1.665%,AMAZONAS,BONGARA,FLORIDA
ACCION POPULAR,125,6.164%,4.428%,AMAZONAS,BONGARA,FLORIDA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,69,3.402%,2.444%,AMAZONAS,BONGARA,FLORIDA
PODEMOS PERU,44,2.170%,1.559%,AMAZONAS,BONGARA,FLORIDA
JUNTOS POR EL PERU,89,4.389%,3.153%,AMAZONAS,BONGARA,FLORIDA
PARTIDO POPULAR CRISTIANO - PPC,3,0.148%,0.106%,AMAZONAS,BONGARA,FLORIDA
FUERZA POPULAR,392,19.329%,13.886%,AMAZONAS,BONGARA,FLORIDA
UNION POR EL PERU,11,0.542%,0.390%,AMAZONAS,BONGARA,FLORIDA
RENOVACION POPULAR,105,5.178%,3.719%,AMAZONAS,BONGARA,FLORIDA
RENACIMIENTO UNIDO NACIONAL,10,0.493%,0.354%,AMAZONAS,BONGARA,FLORIDA
PARTIDO DEMOCRATICO SOMOS PERU,12,0.592%,0.425%,AMAZONAS,BONGARA,FLORIDA
PARTIDO POLITICO NACIONAL PERU LIBRE,955,47.091%,33.829%,AMAZONAS,BONGARA,FLORIDA
DEMOCRACIA DIRECTA,2,0.099%,0.071%,AMAZONAS,BONGARA,FLORIDA
ALIANZA PARA EL PROGRESO,98,4.832%,3.471%,AMAZONAS,BONGARA,FLORIDA
PARTIDO NACIONALISTA PERUANO,111,3.828%,2.887%,AMAZONAS,BONGARA,JAZAN
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",16,0.552%,0.416%,AMAZONAS,BONGARA,JAZAN
PARTIDO MORADO,54,1.862%,1.404%,AMAZONAS,BONGARA,JAZAN
PERU PATRIA SEGURA,8,0.276%,0.208%,AMAZONAS,BONGARA,JAZAN
VICTORIA NACIONAL,115,3.966%,2.991%,AMAZONAS,BONGARA,JAZAN
ACCION POPULAR,242,8.345%,6.294%,AMAZONAS,BONGARA,JAZAN
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,143,4.931%,3.719%,AMAZONAS,BONGARA,JAZAN
PODEMOS PERU,94,3.241%,2.445%,AMAZONAS,BONGARA,JAZAN
JUNTOS POR EL PERU,278,9.586%,7.230%,AMAZONAS,BONGARA,JAZAN
PARTIDO POPULAR CRISTIANO - PPC,9,0.310%,0.234%,AMAZONAS,BONGARA,JAZAN
FUERZA POPULAR,629,21.690%,16.359%,AMAZONAS,BONGARA,JAZAN
UNION POR EL PERU,49,1.690%,1.274%,AMAZONAS,BONGARA,JAZAN
RENOVACION POPULAR,212,7.310%,5.514%,AMAZONAS,BONGARA,JAZAN
RENACIMIENTO UNIDO NACIONAL,14,0.483%,0.364%,AMAZONAS,BONGARA,JAZAN
PARTIDO DEMOCRATICO SOMOS PERU,30,1.034%,0.780%,AMAZONAS,BONGARA,JAZAN
PARTIDO POLITICO NACIONAL PERU LIBRE,686,23.655%,17.841%,AMAZONAS,BONGARA,JAZAN
DEMOCRACIA DIRECTA,1,0.034%,0.026%,AMAZONAS,BONGARA,JAZAN
ALIANZA PARA EL PROGRESO,209,7.207%,5.436%,AMAZONAS,BONGARA,JAZAN
PARTIDO NACIONALISTA PERUANO,16,4.348%,3.101%,AMAZONAS,BONGARA,JUMBILLA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5,1.359%,0.969%,AMAZONAS,BONGARA,JUMBILLA
PARTIDO MORADO,10,2.717%,1.938%,AMAZONAS,BONGARA,JUMBILLA
PERU PATRIA SEGURA,1,0.272%,0.194%,AMAZONAS,BONGARA,JUMBILLA
VICTORIA NACIONAL,16,4.348%,3.101%,AMAZONAS,BONGARA,JUMBILLA
ACCION POPULAR,54,14.674%,10.465%,AMAZONAS,BONGARA,JUMBILLA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,16,4.348%,3.101%,AMAZONAS,BONGARA,JUMBILLA
PODEMOS PERU,2,0.543%,0.388%,AMAZONAS,BONGARA,JUMBILLA
JUNTOS POR EL PERU,50,13.587%,9.690%,AMAZONAS,BONGARA,JUMBILLA
PARTIDO POPULAR CRISTIANO - PPC,1,0.272%,0.194%,AMAZONAS,BONGARA,JUMBILLA
FUERZA POPULAR,47,12.772%,9.109%,AMAZONAS,BONGARA,JUMBILLA
UNION POR EL PERU,1,0.272%,0.194%,AMAZONAS,BONGARA,JUMBILLA
RENOVACION POPULAR,23,6.250%,4.457%,AMAZONAS,BONGARA,JUMBILLA
RENACIMIENTO UNIDO NACIONAL,2,0.543%,0.388%,AMAZONAS,BONGARA,JUMBILLA
