nlat_ie,nlong_ie
-5.1639,-78.2869
-5.1386,-78.31789999999999
-4.8954,-78.2046
-4.7957,-78.2908
-5.20434,-78.32423
-5.04406,-78.33255
-4.9365,-78.2011
-5.2013,-78.32599999999999
-5.16296,-78.28905
-5.1625,-78.2885
-5.2734,-78.3503
-14.3369,-74.7735
-5.62103,-78.44983000000001
-5.9064,-77.79759
-5.90456,-77.79773
-5.90269,-77.79935
-5.90484,-77.79826
-5.89669,-77.7884
-5.86915,-77.80255
-6.01503,-77.95466
-5.82074,-77.82664
-5.84342,-77.82249
-5.82087,-77.82628
-5.93031,-77.94459000000001
-14.4934,-74.2526
-5.89897,-77.92178
-5.82348,-77.96878
-13.3881,-73.69002999999999
-5.82768,-77.96981
-5.87166,-77.95644
-5.80997,-78.01164
-5.83369,-77.91464999999999
-5.84694,-77.9087
-5.80799,-77.95326
-5.83727,-77.99574
-5.7734,-77.95013
-5.82815,-77.97019
-14.3608,-74.6871
-5.9483,-77.9785
-5.9412,-77.97539999999999
-5.99356,-77.99793
-14.4024,-73.8797
-5.93006,-78.00883
-5.93801,-77.97212
-5.99413,-77.9742
-5.9413,-77.9774
-5.91828,-77.96164
-6.001,-77.96550000000001
-5.93772,-78.05251
-5.99373,-77.99664
-5.93053,-78.00917
-5.99466,-77.97423000000001
-5.9473,-77.9768
-5.97812,-77.97535000000001
-5.993480205535889,-77.98652648925781
-5.92003,-78.09273
-5.9469,-77.977
-15.01698,-73.78089
-13.6357,-73.68940000000001
-5.91754,-77.78912
-5.93161,-77.77939000000001
-5.96649,-77.94477999999999
-5.96634,-77.94506
-5.90964,-77.98088
-5.91173,-77.98151
-5.88569,-78.11078999999999
-5.88079,-78.07675
-6.04256,-77.91894000000001
-6.06733,-77.89581
-6.04221,-77.91959
-6.04931,-77.92968
-6.05779,-77.89536
-6.06778,-77.8954
-6.0353,-77.93953999999999
-5.73522,-77.92597000000001
-5.69654,-77.86017
-5.78531,-77.88311
-5.70882,-77.90676999999999
-5.74049,-77.90517
-5.69817,-77.88388
-5.78535,-77.88245000000001
-5.70913,-77.90642
-5.73578,-77.92439
-5.73622,-77.90624
-5.69798,-77.85908999999999
-5.68308,-77.85504
-5.69829,-77.88294
-5.76686,-77.90255000000001
-5.68423,-77.92283999999999
-5.6764,-77.93655
-5.69958,-77.92675
-5.71711,-77.84014000000001
-5.6767,-77.86851
-5.74344,-77.90506000000001
-5.69856,-77.85889
-5.69737,-77.86055
-4.5924,-77.86450000000001
-4.6565,-78.03530000000001
-4.612,-77.9464
-4.5977,-77.86409999999999
-4.7174,-78.0583
-4.8307,-77.9397
-4.8972,-77.922
-4.6028,-77.8711
-5.19222,-77.875
-4.78729,-77.95508
-4.73896,-78.10569
-4.5936,-77.8651
-4.6001,-77.86490000000001
-4.9388,-77.9628
-4.4398,-78.0031
-4.6498,-77.8794
-4.50269,-77.94812
-4.63,-77.8442
-4.6225,-77.9713
-4.53256,-77.81407
-5.0891,-77.96599999999999
-4.7128,-77.8946
-4.5711,-77.9302
-5.125,-77.9712
-4.8345,-77.9515
-4.68642,-78.08081
-4.482,-77.6782
-4.7818,-77.8742
-5.16051,-77.91746000000001
-4.8303,-77.93819999999999
-4.7176,-78.0592
-4.49342,-77.76933
-4.6562,-78.0347
-4.47673,-77.78719
-4.469,-77.96259999999999
-4.8952,-77.9265
-4.76177,-78.02065
-4.6863,-77.8074
-4.4681,-77.7045
-5.14157,-78.01218
-4.6155,-77.92529999999999
-4.61191,-77.73914000000001
-4.6141,-77.9452
-4.91547,-77.9679
-4.5671,-77.89790000000001
-4.93036,-77.99593
-4.92615,-77.86644
-4.6114,-77.9901
-4.78215,-77.87405
-4.61013,-77.72139
-4.68016,-78.03001999999999
-4.70117,-77.88041
-4.6701,-77.9978
-4.51817,-77.94786000000001
-4.73131,-77.82574
-4.6701,-78.0826
-5.1224,-77.949
-4.91165,-77.86292
-5.0153,-77.99769999999999
-4.5265,-77.9277
-4.5575,-77.8682
-4.71626,-78.05695
-4.652,-78.0016
-13.52135,-71.97613
-4.89039,-77.87581
-4.82267,-77.92344
-4.57299,-77.81422000000001
-4.52512,-77.72046
-4.44117,-77.63505000000001
-4.77905,-77.99328
-4.852,-77.98496
-5.04737,-78.03395
-4.53579,-77.90412000000001
-4.8215,-78.0111
-4.9788,-77.9545
-4.45791,-77.97525
-4.9156,-77.9676
-4.55189,-77.73600999999999
-4.5929,-77.86579999999999
-4.6153,-77.9479
-4.7167,-78.0545
-4.6028,-77.8651
-4.894,-77.9301
-4.8306,-77.9402
-4.5987,-77.8614
-4.4559,-78.16079999999999
-4.4327,-78.2497
-4.5737,-78.1909
-4.6071,-78.2034
-4.4553,-78.158
-4.4135,-78.27
-4.4942,-78.1525
-4.60631,-78.20077000000001
-4.45959,-78.1948
-4.5282,-78.46129999999999
-4.4044,-78.41267999999999
-4.51384,-78.17229
-4.2724,-78.3567
-4.37334,-78.19544
-4.647,-78.2251
-4.3117,-78.3839
-4.64289,-78.4447
-4.4348,-78.2501
-4.5792,-78.4791
-4.47978,-78.45613
-4.57314,-78.19047999999999
-4.6365,-78.14579999999999
-4.64822,-78.15388
-4.69664,-78.18865
-4.32365,-78.18783999999999
-4.5446,-78.27979999999999
-4.56268,-78.31184
-4.5244,-78.1746
-4.36351,-78.19486000000001
-4.44939,-78.1837
-4.6569,-78.1533
-4.6415,-78.21469999999999
-4.4721,-78.1558
-4.421,-78.1478
-4.55859,-78.24494
-4.4118,-78.06870000000001
-4.72862,-78.17779
-4.4333,-78.2512
-4.4555,-78.1591
-4.4555,-78.157
-4.432,-78.24944000000001
-4.05829,-77.7573
-4.0155,-77.7637
-4.2391,-77.7243
-3.725,-77.70910000000001
-4.376,-77.6771
-3.51166,-77.77032
-3.9476,-77.7525
-3.12311,-77.82143000000001
-4.1619,-77.7099
-4.0161,-77.7518
-4.2417,-77.7244
-3.8871,-77.7137
-3.3454,-77.8772
-3.63956,-77.76881
-3.73017,-77.75659
-3.91563,-77.71764
-4.3253,-77.7218
-3.7251,-77.70489999999999
-3.9865,-77.7443
-4.0567,-77.75749999999999
-4.3443,-77.6982
-4.0967,-77.72669999999999
-4.2862,-77.74460000000001
-4.0162,-77.7593
-3.45816,-77.84865000000001
-3.67916,-77.75806
-3.25403,-77.87557
-3.23325,-77.83936
-4.19904,-77.84405
-4.02572,-77.77589999999999
-3.56461,-77.78610999999999
-3.92467,-77.74952
-4.5994,-77.868
