id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,eu_dist
23288,4566,I-1,TANTACHUAL BAJO,CAJAMARCA,SAN MIGUEL,OTROS CASERIO TANTACHUAL BAJO DISTRITO SAN SILVESTRE DE COCHAN PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-78.69851,-6.93277,672,6,CAJAMARCA,11,SAN MIGUEL,11,SAN SILVESTRE DE COCHAN,SAN SILVESTRE DE COCHAN,61111,SAN SILVESTRE DE COCHAN,-6.931431002406688,-78.7252617863822,0.02678527560422143
19454,4813,I-4,SANTA CRUZ,CAJAMARCA,SANTA CRUZ,AVENIDA AV. ZARUMILLA S/N NÚMERO S/N DISTRITO SANTA CRUZ PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.943336,-6.630679,679,6,CAJAMARCA,13,SANTA CRUZ,1,SANTA CRUZ,SANTA CRUZ DE SUCCHABAMBA,61301,SANTA CRUZ,-6.627556466156622,-78.94191466046652,0.0034308051055795415
12290,4977,I-3,SANTA CRUZ DE CUTERVO,CAJAMARCA,CUTERVO,OTROS DISTRITO SANTA CRUZ DE CUTERVO DISTRITO SANTA CRUZ DE CUTERVO SANTA CRUZ CUTERVO CAJAMARCA,-78.85337426,-6.09494906,628,6,CAJAMARCA,6,CUTERVO,11,SANTA CRUZ,SANTA CRUZ,60611,SANTA CRUZ,-6.1063391889743,-78.84144753098579,0.016491873848338154
3297,4549,I-2,SANTA CRUZ DE TOLEDO,CAJAMARCA,CONTUMAZA,JIRÓN JR.RICARDO PALMA S/N NÚMERO S/N DISTRITO SANTA CRUZ DE TOLED PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.83687594,-7.3452637,615,6,CAJAMARCA,5,CONTUMAZA,6,SANTA CRUZ DE TOLED,SANTA CRUZ DE TOLED,60506,SANTA CRUZ DE TOLED,-7.327661926670727,-78.86339781991325,0.031831313803671615
14785,4262,I-3,PUENTECILLOS,CAJAMARCA,JAEN,CARRETERA CARRETERA SANTA ROSA CARRETERA SANTA ROSA SANTA ROSA JAEN CAJAMARCA,-78.58698,-5.41009,647,6,CAJAMARCA,8,JAEN,12,SANTA ROSA,SANTA ROSA,60812,SANTA ROSA,-5.427733348514218,-78.60084336623758,0.02243837494631945
15497,5005,I-1,SANTA ROSA DE LA CAPILLA,CAJAMARCA,CUTERVO,OTROS COMUNIDAD DE SANTA ROSA DE LA CAPILLA COMUNIDAD DE SANTA ROSA DE LA CAPILLA SANTO DOMINGO DE LA CAPILLA CUTERVO CAJAMARCA,-78.8399451,-6.27235831,629,6,CAJAMARCA,6,CUTERVO,12,SANTO DOMINGO DE LA CAPILLA,SANTO DOMINGO DE LA CAPILLA,60612,SANTO DOMINGO DE LA CAPILLA,-6.257949078684879,-78.84272293558155,0.014674546589616444
16458,7750,I-1,TAYALES,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE TAYALES COMUNIDAD DE TAYALES SANTO TOMAS CUTERVO CAJAMARCA,-78.65473339,-6.11793846,630,6,CAJAMARCA,6,CUTERVO,13,SANTO TOMAS,SANTO TOMAS,60613,SANTO TOMAS,-6.118075749420057,-78.67710453728564,0.022371568547167844
18932,4833,I-2,SAUCEPAMPA,CAJAMARCA,SANTA CRUZ,OTROS CALL. 17 DE JULIO DISTRITO SAUCEPAMPA PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.916056,-6.69143542,686,6,CAJAMARCA,13,SANTA CRUZ,8,SAUCEPAMPA,SAUCEPAMPA,61308,SAUCEPAMPA,-6.682860526811872,-78.9084686522991,0.01144974402866835
5471,4710,I-1,SEXI,CAJAMARCA,SANTA CRUZ,CALLE CALLE EL PROGRESO S/N NÚMERO S/N DISTRITO SEXI PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-79.05109564,-6.56318719,687,6,CAJAMARCA,13,SANTA CRUZ,9,SEXI,SEXI,61309,SEXI,-6.585582547393862,-79.0363532251021,0.026812139597960555
15353,4519,I-2,SAN JUAN DE LLUCHUBAMBA,CAJAMARCA,CAJABAMBA,OTROS LOCALIDAD SAN JUAN DISTRITO SITACOCHA PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-77.8806691,-7.46378668,578,6,CAJAMARCA,2,CAJABAMBA,4,SITACOCHA,LLUCHUBAMBA,60204,SITACOCHA,-7.474385184657658,-77.90631489984364,0.027749510817272876
8592,6937,I-1,MINAS DE SOCOTA,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE MINAS COMUNIDAD DE MINAS SOCOTA CUTERVO CAJAMARCA,-78.69043,-6.29289,631,6,CAJAMARCA,6,CUTERVO,14,SOCOTA,SOCOTA,60614,SOCOTA,-6.287362417254426,-78.69671913212724,0.008373013431435728
17649,4594,I-1,LA CHORRERA,CAJAMARCA,CELENDIN,OTROS LOCALIDAD LA CHORRERA LOCALIDAD LA CHORRERA SOROCHUCO CELENDIN CAJAMARCA,-78.31506737,-6.95005723,587,6,CAJAMARCA,3,CELENDIN,9,SOROCHUCO,SOROCHUCO,60309,SOROCHUCO,-6.934214997604489,-78.29718227998802,0.023892525442274673
25289,4485,I-1,CALCONGA,CAJAMARCA,CELENDIN,OTROS LOCALIDAD CALCONGA DISTRITO SUCRE PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.15580885,-7.00941955,588,6,CAJAMARCA,3,CELENDIN,10,SUCRE,SUCRE,60310,SUCRE,-7.018749889169237,-78.1713049795272,0.018088263027084318
19446,4311,I-3,TAMBORAPA PUEBLO,CAJAMARCA,SAN IGNACIO,AVENIDA AV. GRAU S/N S/N AV. GRAU S/N TABACONAS SAN IGNACIO CAJAMARCA,-79.15838419,-5.29116357,654,6,CAJAMARCA,9,SAN IGNACIO,7,TABACONAS,TABACONAS,60907,TABACONAS,-5.324338543193906,-79.21511925434639,0.06572249518090965
