,id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,ind,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,IDPROV,CODIGO,CNT_CCPP,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,distancia,travel_time_best_guess,travel_time_pessimistic,travel_time_optimistic,travel_distance_best_guess,travel_distance_pessimistic,travel_distance_optimistic,travel_time_pesimistic,travel_distance_pesimistic
1012,8178,6830,I-1,FILADELFIA,CAJAMARCA,CUTERVO,OTROS COMUNIDAD DE FILADELFIA COMUNIDAD DE FILADELFIA CALLAYUC CUTERVO CAJAMARCA,-78.91688993,-6.13276821,619,1,6,CAJAMARCA,6,CUTERVO,2,CALLAYUC,CALLAYUC,60602,606,60602,69,CALLAYUC,-6.12740892029638,-78.93095194829469,1.6649837269001821,1127.0,1127.0,1127.0,9295.0,9295.0,9295.0,,
1042,10930,4972,I-1,MESARRUME,CAJAMARCA,SOCOTA,OTROS COMUNIDAD MESARRUME COMUNIDAD MESARRUME CHOROS CUTERVO CAJAMARCA,-78.76281,-5.94732,620,1,6,CAJAMARCA,6,CUTERVO,3,CHOROS,CHOROS,60603,606,60603,34,CHOROS,-5.924614771976213,-78.77343762794727,2.7849076814243454,527.0,527.0,527.0,3678.0,3678.0,3678.0,,
1048,2278,6959,I-1,CUNUAT,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE CUNUAT COMUNIDAD DE CUNUAT CUJILLO CUTERVO CAJAMARCA,-78.54462,-6.11962,621,1,6,CAJAMARCA,6,CUTERVO,4,CUJILLO,CUJILLO,60604,606,60604,22,CUJILLO,-6.116751622775737,-78.55885649264842,1.6059990983416959,43755.0,43755.0,43755.0,389261.0,389261.0,389261.0,,
1163,13976,7179,I-1,CHACRERIAS,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE CHACRERIAS COMUNIDAD DE CHACRERIAS LA RAMADA CUTERVO CAJAMARCA,-78.57731333,-6.22945167,622,1,6,CAJAMARCA,6,CUTERVO,5,LA RAMADA,LA RAMADA,60605,606,60605,17,LA RAMADA,-6.230898091099231,-78.56969883536429,0.8569213260399643,161.0,161.0,161.0,1198.0,1198.0,1198.0,,
1142,6464,5012,I-3,PIMPINCOS,CAJAMARCA,SOCOTA,JIRÓN JR. COMERCIO S/N NÚMERO S/N DISTRITO PIMPINGOS PROVINCIA CUTERVO DEPARTAMENTO CAJAMARCA,-78.75668917,-6.06070669,623,1,6,CAJAMARCA,6,CUTERVO,6,PIMPINGOS,PIMPINGOS,60606,606,60606,36,PIMPINGOS,-6.07089520466843,-78.76829226789994,1.7115871197553096,78.0,78.0,78.0,309.0,309.0,309.0,,
1023,7190,5007,I-2,SANTA ROSA DE QUEROCOTILLO,CAJAMARCA,CUTERVO,OTROS LOCALIDAD SANTA ROSA LOCALIDAD SANTA ROSA QUEROCOTILLO CUTERVO CAJAMARCA,-79.08397231,-6.2160125,624,1,6,CAJAMARCA,6,CUTERVO,7,QUEROCOTILLO,QUEROCOTILLO,60607,606,60607,82,QUEROCOTILLO,-6.196787754579376,-79.09163350392943,2.299339869056078,4628.0,,4628.0,33020.0,,33020.0,4628.0,33020.0
1154,9776,5034,I-3,SAN ANDRES,CAJAMARCA,SOCOTA,CARRETERA CARRETERA SAN ANDRES-SOCOTA CARRETERA SAN ANDRES-SOCOTA SAN ANDRES DE CUTERVO CUTERVO CAJAMARCA,-78.70804708,-6.24053655,625,1,6,CAJAMARCA,6,CUTERVO,8,SAN ANDRES DE CUTERVO,SAN ANDRES DE CUTERVO,60608,606,60608,14,SAN ANDRES DE CUTERVO,-6.224067513358646,-78.7422789712748,4.203758411088221,71.0,71.0,71.0,514.0,514.0,514.0,,
1170,26339,7103,I-1,SANTA ROSA DE SAN JUAN,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE SANTA ROSA COMUNIDAD DE SANTA ROSA SAN JUAN DE CUTERVO CUTERVO CAJAMARCA,-78.60362,-6.17102,626,1,6,CAJAMARCA,6,CUTERVO,9,SAN JUAN DE CUTERVO,SAN JUAN DE CUTERVO,60609,606,60609,23,SAN JUAN DE CUTERVO,-6.174218113399612,-78.60009249414134,0.5277644856009515,,,,,,,,
1189,16451,6870,I-1,SANTA ROSA DEL TINGO,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE SANTA ROSA DEL TINGO DISTRITO SAN LUIS DE LUCMA PROVINCIA CUTERVO DEPARTAMENTO CAJAMARCA,-78.59764,-6.26656,627,1,6,CAJAMARCA,6,CUTERVO,10,SAN LUIS DE LUCMA,SAN LUIS DE LUCMA,60610,606,60610,19,SAN LUIS DE LUCMA,-6.279101100284,-78.57875268121131,2.510522416177974,978.0,978.0,978.0,6829.0,6829.0,6829.0,,
1060,12290,4977,I-3,SANTA CRUZ DE CUTERVO,CAJAMARCA,CUTERVO,OTROS DISTRITO SANTA CRUZ DE CUTERVO DISTRITO SANTA CRUZ DE CUTERVO SANTA CRUZ CUTERVO CAJAMARCA,-78.85337426,-6.09494906,628,1,6,CAJAMARCA,6,CUTERVO,11,SANTA CRUZ,SANTA CRUZ,60611,606,60611,47,SANTA CRUZ,-6.1063391889743,-78.84144753098579,1.828388507116021,489.0,489.0,489.0,3041.0,3041.0,3041.0,,
1133,15497,5005,I-1,SANTA ROSA DE LA CAPILLA,CAJAMARCA,CUTERVO,OTROS COMUNIDAD DE SANTA ROSA DE LA CAPILLA COMUNIDAD DE SANTA ROSA DE LA CAPILLA SANTO DOMINGO DE LA CAPILLA CUTERVO CAJAMARCA,-78.8399451,-6.27235831,629,1,6,CAJAMARCA,6,CUTERVO,12,SANTO DOMINGO DE LA CAPILLA,SANTO DOMINGO DE LA CAPILLA,60612,606,60612,28,SANTO DOMINGO DE LA CAPILLA,-6.257949078684879,-78.84272293558155,1.6313869209470129,610.0,610.0,610.0,6539.0,6539.0,6539.0,,
1057,16458,7750,I-1,TAYALES,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE TAYALES COMUNIDAD DE TAYALES SANTO TOMAS CUTERVO CAJAMARCA,-78.65473339,-6.11793846,630,1,6,CAJAMARCA,6,CUTERVO,13,SANTO TOMAS,SANTO TOMAS,60613,606,60613,40,SANTO TOMAS,-6.118075749420057,-78.67710453728564,2.473437284116345,631.0,631.0,631.0,3113.0,3113.0,3113.0,,
1179,8592,6937,I-1,MINAS DE SOCOTA,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE MINAS COMUNIDAD DE MINAS SOCOTA CUTERVO CAJAMARCA,-78.69043,-6.29289,631,1,6,CAJAMARCA,6,CUTERVO,14,SOCOTA,SOCOTA,60614,606,60614,37,SOCOTA,-6.287362417254426,-78.69671913212724,0.9278785574637485,1037.0,1037.0,1037.0,8472.0,8472.0,8472.0,,
1152,15498,5019,I-3,LA SACILIA,CAJAMARCA,SOCOTA,OTROS DISTRITO LA SACILIA DISTRITO LA SACILIA TORIBIO CASANOVA CUTERVO CAJAMARCA,-78.697265,-6.001959,632,1,6,CAJAMARCA,6,CUTERVO,15,TORIBIO CASANOVA,LA SACILIA,60615,606,60615,26,TORIBIO CASANOVA,-5.987986823734805,-78.69242406634012,1.6432816599375897,0.0,0.0,0.0,0.0,0.0,0.0,,
863,17685,6815,I-3,VIRGEN DEL CARMEN,CAJAMARCA,BAMBAMARCA,JIRÓN JR. AHAUALPA N° 221-BAMBAMARCA JR. AHAUALPA N° 221-BAMBAMARCA BAMBAMARCA HUALGAYOC CAJAMARCA,-78.5172716,-6.67878577,633,1,6,CAJAMARCA,7,HUALGAYOC,1,BAMBAMARCA,BAMBAMARCA,60701,607,60701,179,BAMBAMARCA,-6.69306296278482,-78.47949984132427,4.463343648153342,1595.0,1595.0,1595.0,8509.0,8509.0,8509.0,,
965,13174,4804,I-1,PERLAMAYO,CAJAMARCA,BAMBAMARCA,OTROS COMUNIDAD PERLAMAYO DISTRITO CHUGUR PROVINCIA HUALGAYOC DEPARTAMENTO CAJAMARCA,-78.70348,-6.65466,634,1,6,CAJAMARCA,7,HUALGAYOC,2,CHUGUR,CHUGUR,60702,607,60702,17,CHUGUR,-6.685518797196959,-78.70768210400887,3.4625835780976484,3341.0,3341.0,3341.0,26026.0,26026.0,26026.0,,
957,19723,10270,I-2,POSTA MEDICA DE HUALGAYOC,CAJAMARCA,NO PERTENECE A NINGUNA RED,JIRÓN JR. EMILIO MONTOYA N° 120 DISTRITO HUALGAYOC PROVINCIA HUALGAYOC DEPARTAMENTO CAJAMARCA,-78.60712809,-6.7640298,635,1,6,CAJAMARCA,7,HUALGAYOC,3,HUALGAYOC,HUALGAYOC,60703,607,60703,48,HUALGAYOC,-6.75273178649143,-78.6002550951478,1.4677265181836467,9.0,9.0,9.0,39.0,39.0,39.0,,
4,26418,4214,I-1,LAS NARANJAS,CAJAMARCA,JAEN,OTROS COMUNIDAD DE LAS NARANJAS COMUNIDAD DE LAS NARANJAS JAEN JAEN CAJAMARCA,-78.846347,-5.745295,636,1,6,CAJAMARCA,8,JAEN,1,JAEN,JAEN,60801,608,60801,108,JAEN,-5.770178526822774,-78.85255115664602,2.8507873587672914,1523.0,1523.0,1523.0,7126.0,7126.0,7126.0,,
120,24900,4230,I-1,SAN AUGUSTIN,CAJAMARCA,JAEN,CALLE CALLE IVA S/N S/N CALLE IVA S/N BELLAVISTA JAEN CAJAMARCA,-78.79384,-5.58596,637,1,6,CAJAMARCA,8,JAEN,2,BELLAVISTA,BELLAVISTA,60802,608,60802,77,BELLAVISTA,-5.564668861888495,-78.74262548286006,6.14243176648112,2374.0,2374.0,2374.0,22582.0,22582.0,22582.0,,
123,17284,4233,I-2,PACHAPIRIANA,CAJAMARCA,JAEN,OTROS COMUNIDAD DE PACHAPIRIANA COMUNIDAD DE PACHAPIRIANA CHONTALI JAEN CAJAMARCA,-79.12639667,-5.64022668,638,1,6,CAJAMARCA,8,JAEN,3,CHONTALI,CHONTALI,60803,608,60803,56,CHONTALI,-5.633938366176614,-79.1333554620538,1.0401359632732141,52.0,52.0,52.0,404.0,404.0,404.0,,
131,1918,7017,I-2,AHUYACA,CAJAMARCA,JAEN,OTROS C.P AHUYACA C.P AHUYACA COLASAY JAEN CAJAMARCA,-79.00256579,-5.93504498,639,1,6,CAJAMARCA,8,JAEN,4,COLASAY,COLASAY,60804,608,60804,122,COLASAY,-5.901052025899031,-78.97945638518134,4.562906677724247,1901.0,1901.0,1901.0,12080.0,12080.0,12080.0,,
135,11525,4241,I-3,HUABAL,CAJAMARCA,JAEN,OTROS COMUNIDAD DE HUABAL COMUNIDAD DE HUABAL HUABAL JAEN CAJAMARCA,-78.89963505,-5.61213259,640,1,6,CAJAMARCA,8,JAEN,5,HUABAL,HUABAL,60805,608,60805,30,HUABAL,-5.604925456320518,-78.90585415967001,1.0563557811773747,2.0,2.0,2.0,12.0,12.0,12.0,,
154,13022,4245,I-3,LAS PIRIAS DE JAEN,CAJAMARCA,JAEN,PLAZA PLAZA DE ARMAS PIRIAS S/N S/N PLAZA DE ARMAS PIRIAS S/N LAS PIRIAS JAEN CAJAMARCA,-78.8524157,-5.62707293,641,1,6,CAJAMARCA,8,JAEN,6,LAS PIRIAS,LAS PIRIAS,60806,608,60806,38,LAS PIRIAS,-5.636341962042768,-78.84958991537201,1.0770600023038923,29.0,29.0,29.0,179.0,179.0,179.0,,
158,11210,7166,I-1,MANGAYPA,CAJAMARCA,JAEN,OTROS C.P. MANGAYPA C.P. MANGAYPA POMAHUACA JAEN CAJAMARCA,-79.17677956,-5.87976212,642,1,6,CAJAMARCA,8,JAEN,7,POMAHUACA,POMAHUACA,60807,608,60807,81,POMAHUACA,-5.8753999738952,-79.19500591545217,2.073553597443088,4628.0,,4628.0,33020.0,,33020.0,4628.0,33020.0
164,19490,16704,SD,POSTA MÉDICA DE PUCARÁ,CAJAMARCA,NO PERTENECE A NINGUNA RED,CALLE CALLE SAN MARTÍN S/N PUCARÁ S/N CALLE SAN MARTÍN S/N PUCARÁ PUCARA JAEN CAJAMARCA,-79.1297751,-6.0418671,643,1,6,CAJAMARCA,8,JAEN,8,PUCARA,PUCARA,60808,608,60808,30,PUCARA,-6.039986978158075,-79.12365551040568,0.7082468750720875,309.0,309.0,309.0,1886.0,1886.0,1886.0,,
165,13169,4250,I-3,SALLIQUE,CAJAMARCA,JAEN,CALLE CALLE ALFONSO UGARTE S/N S/N CALLE ALFONSO UGARTE S/N SALLIQUE JAEN CAJAMARCA,-79.31577965,-5.65620348,644,1,6,CAJAMARCA,8,JAEN,9,SALLIQUE,SALLIQUE,60809,608,60809,110,SALLIQUE,-5.625686059091744,-79.31242741575443,3.4135970604520054,,,,,,,,
172,21403,4254,I-3,SAN FELIPE,CAJAMARCA,JAEN,OTROS COMUNIDAD SAN FELIPE COMUNIDAD SAN FELIPE SAN FELIPE JAEN CAJAMARCA,-79.31283463,-5.77025781,645,1,6,CAJAMARCA,8,JAEN,10,SAN FELIPE,SAN FELIPE,60810,608,60810,84,SAN FELIPE,-5.786477227250232,-79.31021142229889,1.8267162673021455,0.0,0.0,0.0,0.0,0.0,0.0,,
150,7480,13058,I-1,SAN PEDRO,CAJAMARCA,JAEN,OTROS CASERIO SAN PEDRO CASERIO SAN PEDRO SAN JOSE DEL ALTO JAEN CAJAMARCA,-79.03845599,-5.54900682,646,1,6,CAJAMARCA,8,JAEN,11,SAN JOSE DEL ALTO,SAN JOSE DEL ALTO,60811,608,60811,47,SAN JOSE DEL ALTO,-5.517367642855747,-79.05506108087833,3.969211897119071,,,,,,,,
176,14785,4262,I-3,PUENTECILLOS,CAJAMARCA,JAEN,CARRETERA CARRETERA SANTA ROSA CARRETERA SANTA ROSA SANTA ROSA JAEN CAJAMARCA,-78.58698,-5.41009,647,1,6,CAJAMARCA,8,JAEN,12,SANTA ROSA,SANTA ROSA,60812,608,60812,78,SANTA ROSA,-5.427733348514218,-78.60084336623758,2.4907827933325826,0.0,0.0,0.0,0.0,0.0,0.0,,
181,10759,4267,I-4,SAN IGNACIO,CAJAMARCA,SAN IGNACIO,AVENIDA AV. ABELARDO QUIÑONES S/N NÚMERO S/N DISTRITO SAN IGNACIO PROVINCIA SAN IGNACIO DEPARTAMENTO CAJAMARCA,-79.003002,-5.14467,648,1,6,CAJAMARCA,9,SAN IGNACIO,1,SAN IGNACIO,SAN IGNACIO,60901,609,60901,99,SAN IGNACIO,-5.140405077923568,-79.00789460996974,0.7200665501568947,327.0,327.0,327.0,1795.0,1795.0,1795.0,,
210,10916,4274,I-3,CHIRINOS,CAJAMARCA,SAN IGNACIO,OTROS ALTO PERU S/N NÚMERO S/N DISTRITO CHIRINOS PROVINCIA SAN IGNACIO DEPARTAMENTO CAJAMARCA,-78.90172426,-5.30277342,649,1,6,CAJAMARCA,9,SAN IGNACIO,2,CHIRINOS,CHIRINOS,60902,609,60902,84,CHIRINOS,-5.307553228839856,-78.88245718685589,2.1984368841254325,76.0,76.0,76.0,422.0,422.0,422.0,,
223,12206,4284,I-3,EL PORVENIR DE HUARANGO,CAJAMARCA,SAN IGNACIO,OTROS DISTRITO EL HUARANGO DISTRITO EL HUARANGO HUARANGO SAN IGNACIO CAJAMARCA,-78.75058,-5.16398,650,1,6,CAJAMARCA,9,SAN IGNACIO,3,HUARANGO,HUARANGO,60903,609,60903,96,HUARANGO,-5.09652405211401,-78.71529057820497,8.45789974449264,1827.0,1827.0,1827.0,12950.0,12950.0,12950.0,,
232,21404,4290,I-3,RUMIPITE,CAJAMARCA,SAN IGNACIO,OTROS COMUNIDAD DE RUMIPITE COMUNIDAD DE RUMIPITE LA COIPA SAN IGNACIO CAJAMARCA,-78.97517,-5.38766,651,1,6,CAJAMARCA,9,SAN IGNACIO,4,LA COIPA,LA COIPA,60904,609,60904,98,LA COIPA,-5.38963741943043,-78.97348368601949,0.28843808425725886,5.0,5.0,5.0,43.0,43.0,43.0,,
205,13502,7016,I-2,PAMPA VERDE,CAJAMARCA,SAN IGNACIO,OTROS PAMPA VERDE DISTRITO NAMBALLE PROVINCIA SAN IGNACIO DEPARTAMENTO CAJAMARCA,-79.17658,-5.08898,652,1,6,CAJAMARCA,9,SAN IGNACIO,5,NAMBALLE,NAMBALLE,60905,609,60905,52,NAMBALLE,-5.107316398456057,-79.18098681854407,2.096518948565287,,,,,,,,
256,9442,4308,I-1,DIAMANTE,CAJAMARCA,SAN IGNACIO,OTROS COMUNIDAD EL DIAMANTE DISTRITO SAN JOSE DE LOURDES PROVINCIA SAN IGNACIO DEPARTAMENTO CAJAMARCA,-78.90137,-4.92764,653,1,6,CAJAMARCA,9,SAN IGNACIO,6,SAN JOSE DE LOURDES,SAN JOSE DE LOURDES,60906,609,60906,83,SAN JOSE DE LOURDES,-4.915990503475814,-78.83184908839714,7.810040996555881,,,,,,,,
263,19446,4311,I-3,TAMBORAPA PUEBLO,CAJAMARCA,SAN IGNACIO,AVENIDA AV. GRAU S/N S/N AV. GRAU S/N TABACONAS SAN IGNACIO CAJAMARCA,-79.15838419,-5.29116357,654,1,6,CAJAMARCA,9,SAN IGNACIO,7,TABACONAS,TABACONAS,60907,609,60907,91,TABACONAS,-5.324338543193906,-79.21511925434639,7.284669147975754,2896.0,2896.0,2896.0,17878.0,17878.0,17878.0,,
360,23556,28974,I-3,CENTRO MEDICO SAN MARCOS TU SALUD EN NUESTRAS MANOS EIRL,CAJAMARCA,NO PERTENECE A NINGUNA RED,JIRÓN INCLAN NÚMERO 124 PISO 1 DISTRITO PEDRO GALVEZ PROVINCIA SAN MARCOS DEPARTAMENTO CAJAMARCA,-78.1706939,-7.332226,655,1,6,CAJAMARCA,10,SAN MARCOS,1,PEDRO GALVEZ,SAN MARCOS,61001,610,61001,58,PEDRO GALVEZ,-7.329158689680376,-78.17123693582491,0.3462874872616319,554.0,554.0,554.0,2686.0,2686.0,2686.0,,
345,9767,4491,I-1,PUESTO DE SALUD CHANCAY,CAJAMARCA,SAN MARCOS,AVENIDA AV. CHANCAY S/N NÚMERO S/N DISTRITO CHANCAY PROVINCIA SAN MARCOS DEPARTAMENTO CAJAMARCA,-78.12366049,-7.39182615,656,1,6,CAJAMARCA,10,SAN MARCOS,2,CHANCAY,CHANCAY,61002,610,61002,22,CHANCAY,-7.409440519501964,-78.11730721333672,2.0801490473291695,622.0,622.0,622.0,6129.0,6129.0,6129.0,,
347,11529,4492,I-2,LA GRAMA,CAJAMARCA,SAN MARCOS,AVENIDA AV. FUJIMURI S/N NÚMERO S/N DISTRITO EDUARDO VILLANUEVA PROVINCIA SAN MARCOS DEPARTAMENTO CAJAMARCA,-78.12878775,-7.46432594,657,1,6,CAJAMARCA,10,SAN MARCOS,3,EDUARDO VILLANUEVA,LA GRAMA,61003,610,61003,11,EDUARDO VILLANUEVA,-7.441246652965817,-78.14339863956327,3.0300156643782756,1265.0,1265.0,1265.0,9072.0,9072.0,9072.0,,
364,5345,4503,I-1,PUESTO DE SALUD ULLILLIN,CAJAMARCA,SAN MARCOS,OTROS LOCALIDAD ULLILLIN DISTRITO GREGORIO PITA PROVINCIA SAN MARCOS DEPARTAMENTO CAJAMARCA,-78.13598169,-7.25759535,658,1,6,CAJAMARCA,10,SAN MARCOS,4,GREGORIO PITA,PAUCAMARCA,61004,610,61004,53,GREGORIO PITA,-7.222072177482906,-78.161240434848,4.833805020046586,13346.0,13346.0,13346.0,96359.0,96359.0,96359.0,,
344,12163,4490,I-1,PUESTO DE SALUD POMARONGO,CAJAMARCA,SAN MARCOS,OTROS CAMINO REAL S/N NÚMERO S/N DISTRITO CHANCAY PROVINCIA SAN MARCOS DEPARTAMENTO CAJAMARCA,-78.06887621,-7.41290977,656,1,6,CAJAMARCA,10,SAN MARCOS,5,ICHOCAN,ICHOCAN,61005,610,61005,15,ICHOCAN,-7.406084236084644,-78.05979325503557,1.2566303511212824,214.0,214.0,214.0,1391.0,1391.0,1391.0,,
348,17648,4494,I-2,PUESTO DE SALUD SHIRAC,CAJAMARCA,SAN MARCOS,JIRÓN JR. 11 DE DICIEMBRE S/N S/N JR. 11 DE DICIEMBRE S/N JOSE MANUEL QUIROZ SAN MARCOS CAJAMARCA,-78.0465152,-7.34880313,660,1,6,CAJAMARCA,10,SAN MARCOS,6,JOSE MANUEL QUIROZ,SHIRAC,61006,610,61006,66,JOSE MANUEL QUIROZ,-7.35601711617239,-78.02097097011375,2.929017212677367,1227.0,1227.0,1227.0,9307.0,9307.0,9307.0,,
352,16413,4498,I-2,LICLICONGA,CAJAMARCA,SAN MARCOS,OTROS CENTRO POBLADO LICLICONGA S/N NÚMERO S/N DISTRITO JOSE SABOGAL PROVINCIA SAN MARCOS DEPARTAMENTO CAJAMARCA,-77.91045089,-7.27189469,661,1,6,CAJAMARCA,10,SAN MARCOS,7,JOSE SABOGAL,VENECIA,61007,610,61007,82,JOSE SABOGAL,-7.226790322303838,-77.96818616001592,8.10632091206456,1130.0,1130.0,1130.0,7384.0,7384.0,7384.0,,
420,3003,4574,I-1,TAYAPAMPA,CAJAMARCA,SAN MIGUEL,OTROS LOCALIDAD TAYAPAMPA DISTRITO SAN MIGUEL PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-78.89912,-7.09990667,662,1,6,CAJAMARCA,11,SAN MIGUEL,1,SAN MIGUEL,SAN MIGUEL DE PALLAQUES,61101,611,61101,68,SAN MIGUEL,-7.077477931138254,-78.92235563378821,3.5768159374899384,3305.0,3305.0,3305.0,24333.0,24333.0,24333.0,,
403,23150,4534,I-2,BOLIVAR,CAJAMARCA,SAN MIGUEL,AVENIDA AV. 26 DE DICIEMBRE S/N -  BOLIVAR NÚMERO S/N DISTRITO BOLIVAR PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-79.1791,-6.97723,663,1,6,CAJAMARCA,11,SAN MIGUEL,2,BOLIVAR,BOLIVAR,61102,611,61102,30,BOLIVAR,-6.975911467344069,-79.16248594340846,1.8395723681112006,208.0,208.0,208.0,1484.0,1484.0,1484.0,,
460,23151,4570,I-1,TAULIS,CAJAMARCA,SAN MIGUEL,OTROS LOCALIDAD TAULIS DISTRITO CALQUIS PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-78.98910379,-6.93800848,664,1,6,CAJAMARCA,11,SAN MIGUEL,3,CALQUIS,CALQUIS,61103,611,61103,24,CALQUIS,-6.913739691961161,-78.9531112880556,4.8027934418346705,620.0,620.0,620.0,2580.0,2580.0,2580.0,,
514,21589,4606,I-1,QUILCATE ALTO,CAJAMARCA,SAN MIGUEL,OTROS CPM QUILCATE ALTO CPM QUILCATE ALTO CATILLUC SAN MIGUEL CAJAMARCA,-78.7313,-6.81692,665,1,6,CAJAMARCA,11,SAN MIGUEL,4,CATILLUC,CATILLUC,61104,611,61104,23,CATILLUC,-6.8042771604382,-78.73384164479626,1.4335544881814997,81.0,81.0,81.0,568.0,568.0,568.0,,
414,21765,4575,I-2,EL PRADO,CAJAMARCA,SAN MIGUEL,DISTRITO EL PRADO,-79.00941,-7.033193,666,1,6,CAJAMARCA,11,SAN MIGUEL,5,EL PRADO,EL PRADO,61105,611,61105,15,EL PRADO,-7.038039308001461,-79.00331840461457,0.8615814239974876,3.0,3.0,3.0,20.0,20.0,20.0,,
442,12164,4556,I-3,LA FLORIDA,CAJAMARCA,SAN MIGUEL,OTROS DISTRITO LA FLORIDA DISTRITO LA FLORIDA PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-79.12444358,-6.87032866,667,1,6,CAJAMARCA,11,SAN MIGUEL,6,LA FLORIDA,LA FLORIDA,61106,611,61106,28,LA FLORIDA,-6.868881427325543,-79.14883383226443,2.6974067437700238,956.0,956.0,956.0,8264.0,8264.0,8264.0,,
453,1346,7083,I-1,PABELLON CHICO,CAJAMARCA,SAN MIGUEL,OTROS COMUNIDAD PABELLON CHICO DISTRITO LLAPA PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-78.75323,-6.89316,668,1,6,CAJAMARCA,11,SAN MIGUEL,7,LLAPA,LLAPA,61107,611,61107,27,LLAPA,-6.891368966467351,-78.74868872486786,0.5394271297951684,1549.0,1549.0,1549.0,12866.0,12866.0,12866.0,,
401,16073,4532,I-3,NANCHOC,CAJAMARCA,SAN MIGUEL,OTROS DISTRITO DE NANCHOC DISTRITO NANCHOC PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-79.24141148,-6.95981345,669,1,6,CAJAMARCA,11,SAN MIGUEL,8,NANCHOC,NANCHOC,61108,611,61108,39,NANCHOC,-7.00851074303496,-79.24777398372792,5.460236038765865,56.0,56.0,56.0,221.0,221.0,221.0,,
443,7184,4557,I-2,NIEPOS,CAJAMARCA,SAN MIGUEL,OTROS DISTRITO NIEPOS DISTRITO NIEPOS PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-79.12840201,-6.9267286,670,1,6,CAJAMARCA,11,SAN MIGUEL,9,NIEPOS,NIEPOS,61109,611,61109,41,NIEPOS,-6.926717799126992,-79.13143524251483,0.3348204815982702,44.0,44.0,44.0,142.0,142.0,142.0,,
405,13171,4535,I-1,EL SAUCE,CAJAMARCA,SAN MIGUEL,OTROS LOCALIDAD EL SAUCE DISTRITO SAN GREGORIO PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-79.12735,-7.06395,671,1,6,CAJAMARCA,11,SAN MIGUEL,10,SAN GREGORIO,SAN GREGORIO,61110,611,61110,48,SAN GREGORIO,-7.117978014363154,-79.16096822944561,7.0606490347439,1419.0,1419.0,1419.0,8891.0,8891.0,8891.0,,
456,23288,4566,I-1,TANTACHUAL BAJO,CAJAMARCA,SAN MIGUEL,OTROS CASERIO TANTACHUAL BAJO DISTRITO SAN SILVESTRE DE COCHAN PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-78.69851,-6.93277,672,1,6,CAJAMARCA,11,SAN MIGUEL,11,SAN SILVESTRE DE COCHAN,SAN SILVESTRE DE COCHAN,61111,611,61111,34,SAN SILVESTRE DE COCHAN,-6.931431002406688,-78.7252617863822,2.9566689685153067,1457.0,1457.0,1457.0,8623.0,8623.0,8623.0,,
518,20733,8751,I-1,LA CORONILLA,CAJAMARCA,SAN MIGUEL,OTROS COMUNIDAD LA CORONILLA COMUNIDAD LA CORONILLA TONGOD SAN MIGUEL CAJAMARCA,-78.81490039,-6.80759961,673,1,6,CAJAMARCA,11,SAN MIGUEL,12,TONGOD,TONGOD,61112,611,61112,24,TONGOD,-6.788161271933613,-78.83354722256809,2.9850851585553477,2153.0,2153.0,2153.0,13034.0,13034.0,13034.0,,
427,16369,4543,I-1,LIVES,CAJAMARCA,SAN MIGUEL,JIRÓN JR. CHEPEN S/N NÚMERO S/N DISTRITO UNION AGUA BLANCA PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-79.0414859,-7.08044523,674,1,6,CAJAMARCA,11,SAN MIGUEL,13,UNION AGUA BLANCA,AGUA BLANCA,61113,611,61113,32,UNION AGUA BLANCA,-7.118897786310705,-79.05419583150723,4.499856404024194,723.0,723.0,723.0,5250.0,5250.0,5250.0,,
464,21963,4581,I-2,SANTA ROSA DE UNANCA,CAJAMARCA,SAN PABLO,OTROS LOCALIDAD SANTA ROSA DE UNANCA DISTRITO SAN PABLO PROVINCIA SAN PABLO DEPARTAMENTO CAJAMARCA,-78.78178041,-7.08410971,675,1,6,CAJAMARCA,12,SAN PABLO,1,SAN PABLO,SAN PABLO,61201,612,61201,48,SAN PABLO,-7.086013887615922,-78.78578175939919,0.48967587181013744,1631.0,1631.0,1631.0,9673.0,9673.0,9673.0,,
