Department_univ,Province_univ,Name_univ,Adress_univ,Latitude_univ,Longitude_univ
Ica,Chincha,Universidad Autónoma de Ica S.A.C. (*9),"Universidad Autónoma de Ica S.A.C. (*9), Chincha, Ica",-13.4156394,-76.1286726
La Libertad,Trujillo,Universidad Privada de Trujillo,"Universidad Privada de Trujillo, Trujillo, La Libertad",-8.1080914,-78.99443049999999
Puno,Puno,Universidad Privada San Carlos,"Universidad Privada San Carlos, Puno, Puno",-15.8395008,-70.0295166
Lima,Lima,Universidad Peruana Simón Bolivar,"Universidad Peruana Simón Bolivar, Lima, Lima",-12.0714689,-77.0510524
Lima,Lima,Universidad Peruana de Integración Global S.A.C.,"Universidad Peruana de Integración Global S.A.C., Lima, Lima",-12.134611,-76.979023
Loreto,Maynas,Universidad Peruana del Oriente S.A.C.,"Universidad Peruana del Oriente S.A.C., Maynas, Loreto",-3.772631,-73.282986
Lima,Lima,Universidad Autónoma del Perú,"Universidad Autónoma del Perú, Lima, Lima",-12.195444,-76.9719561
Lima,Lima,Universidad de Ciencias y Humanidades,"Universidad de Ciencias y Humanidades, Lima, Lima",-11.9615097,-77.0655921
Lambayeque,Chiclayo,Universidad Privada Juan Mejía Baca,"Universidad Privada Juan Mejía Baca, Chiclayo, Lambayeque",-6.7677972,-79.8325989
Lima,Lima,Universidad Jaime Bausate y Meza,"Universidad Jaime Bausate y Meza, Lima, Lima",-12.0849556,-77.0547406
Junín,Huancayo,Universidad Peruana del Centro,"Universidad Peruana del Centro, Huancayo, Junín",-12.0700173,-75.2115571
Lima,Lima,Universidad Privada Arzobispo Loayza S.A.C,"Universidad Privada Arzobispo Loayza S.A.C, Lima, Lima",-12.0741046,-77.035806
Lima,Lima,Universidad Le Cordon Bleu S.A.C.,"Universidad Le Cordon Bleu S.A.C., Lima, Lima",-12.0987694,-77.05647119999999
Junín,Huancayo,Universidad Privada de Huancayo Franklin Roosevelt,"Universidad Privada de Huancayo Franklin Roosevelt, Huancayo, Junín",-12.0421667,-75.19566329999999
Lambayeque,Chiclayo,Universidad de Lambayeque S.A.C.,"Universidad de Lambayeque S.A.C., Chiclayo, Lambayeque",-6.7745742,-79.8450745
Lima,Lima,Universidad de Ciencias y Artes de América Latina S.A.C.,"Universidad de Ciencias y Artes de América Latina S.A.C., Lima, Lima",-12.0857224,-76.90866880000002
Lima,Lima,Universidad Peruana de Arte Orval S.A.C.,"Universidad Peruana de Arte Orval S.A.C., Lima, Lima",-12.1108158,-76.99129719999999
Loreto,Maynas,Universidad Privada de la Selva Peruana (*10),"Universidad Privada de la Selva Peruana (*10), Maynas, Loreto",-3.7546883,-73.24716320000002
Arequipa,Arequipa,Universidad Ciencias de la Salud,"Universidad Ciencias de la Salud, Arequipa, Arequipa",-16.4028927,-71.5456435
Ayacucho,Huamanga,Universidad de Ayacucho Federico Froebel,"Universidad de Ayacucho Federico Froebel, Huamanga, Ayacucho",-13.1488912,-74.2281228
Lima,Lima,Universidad Peruana de Investigación y Negocios S.A.C.,"Universidad Peruana de Investigación y Negocios S.A.C., Lima, Lima",-12.0825755,-77.0462738
Cusco,Cusco,Universidad Peruana Austral del Cusco,"Universidad Peruana Austral del Cusco, Cusco, Cusco",-13.5255413,-71.9515765
Arequipa,Arequipa,Universidad Autónoma San Francisco,"Universidad Autónoma San Francisco, Arequipa, Arequipa",-16.4007953,-71.53905809999999
Lima,Lima,Universidad San Andrés,"Universidad San Andrés, Lima, Lima",-11.9905165,-77.0598493
Lima,Lima,Universidad Interamericana para el Desarrollo,"Universidad Interamericana para el Desarrollo, Lima, Lima",-12.0563556,-77.04450589999999
Lima,Lima,Universidad Privada Juan Pablo II,"Universidad Privada Juan Pablo II, Lima, Lima",-12.0211306,-76.9037173
La Libertad,Trujillo,Universidad Privada Leonardo Da Vinci S.A.C. (*11),"Universidad Privada Leonardo Da Vinci S.A.C. (*11), Trujillo, La Libertad",-8.1151,-79.03193999999999
Lima,Lima,Universidad de Ingeniería y Tecnología,"Universidad de Ingeniería y Tecnología, Lima, Lima",-12.1353732,-77.0220855
Arequipa,Arequipa,Universidad La Salle,"Universidad La Salle, Arequipa, Arequipa",-16.424163,-71.556192
Tacna,Tacna,Universidad Latinoamericana CIMA,"Universidad Latinoamericana CIMA, Tacna, Tacna",-18.0155585,-70.242308
Arequipa,Arequipa,Universidad Privada Autónoma del Sur,"Universidad Privada Autónoma del Sur, Arequipa, Arequipa",-16.4084459,-71.5280816
Lima,Lima,Universidad María Auxiliadora,"Universidad María Auxiliadora, Lima, Lima",-11.97818,-77.01687
Amazonas,Utcubamba,Universidad Politécnica Amazónica S.A.C.,"Universidad Politécnica Amazónica S.A.C., Utcubamba, Amazonas",-5.747067599999999,-78.44946809999999
Lima,Huarochirí,Universidad Santo Domingo de Guzmán,"Universidad Santo Domingo de Guzmán, Huarochirí, Lima",-11.9113324,-76.982951
Callao,Callao,Universidad Marítima del Perú,"Universidad Marítima del Perú, Callao, Callao",-12.0614627,-77.1470315
Cusco,La Convención,Universidad Privada Líder Peruana,"Universidad Privada Líder Peruana, La Convención, Cusco",-12.8604607,-72.6921444
Lima,Lima,Universidad Privada Peruano Alemana S.AC.,"Universidad Privada Peruano Alemana S.AC., Lima, Lima",-12.1661519,-77.0236628
Cusco,Cusco,Universidad Global del Cusco,"Universidad Global del Cusco, Cusco, Cusco",-13.5242195,-71.9436937
Junín,Huancayo,Universidad Santo Tomás de Aquino de Ciencia e Integración,"Universidad Santo Tomás de Aquino de Ciencia e Integración, Huancayo, Junín",-12.0840468,-75.20848769999999
Lima,Lima,Universidad Privada SISE,"Universidad Privada SISE, Lima, Lima",-12.0776452,-77.0358547
Lima,Lima,Universidad Seminario Evangélico de Lima (*12),"Universidad Seminario Evangélico de Lima (*12), Lima, Lima",-12.0639589,-76.96007399999999
Lima,Lima,Universidad Seminario Bíblico Andino (*12),"Universidad Seminario Bíblico Andino (*12), Lima, Lima",-12.0696208,-77.0533978
Lima,Lima,Universidad Católica San José,"Universidad Católica San José, Lima, Lima",-12.0836816,-77.0691681
