Unnamed: 0,N°,UNIVERSIDAD,DEPARTAMENTO,PROVINCIA,DISPOSITIVO LEGAL DE CREACIÓN,FECHA DE CREACIÓN,DISPOSITIVO LEGAL DE LICENCIAMIENTO,FECHA DE PUB. DIARIO EL PERUANO,TIPO,DISPOSITIVO LEGAL DE LICENCIAMIENTO O DENEGATORIA,CONDICIÓN JURÍDICA,DIRECCION,latitude,longitude
58,59,Universidad Jaime Bausate y Meza,Lima,Lima,Ley N° 29278,13/11/2008,,16/06/2018,Universidad privada,Res. N° 057-2018-SUNEDU/CD,Asociativa,Universidad Jaime Bausate y Meza Lima Lima,-12.0849556,-77.0547406
59,60,Universidad Peruana del Centro,Junín,Huancayo,Res. N° 133-2009-CONAFU,11/03/2009,,,Universidad privada,,Asociativa,Universidad Peruana del Centro Junín Huancayo,-12.0700173,-75.2115571
60,61,Universidad Privada Arzobispo Loayza S.A.C,Lima,Lima,Res. N° 129-2009-CONAFU,12/03/2009,,13/06/2019,Universidad privada,Res. N° 080-2019-SUNEDU/CD,Societaria,Universidad Privada Arzobispo Loayza S.A.C Lima Lima,-12.0741046,-77.035806
61,62,Universidad Le Cordon Bleu S.A.C.,Lima,Lima,Res. N° 220-2009-CONAFU,08/05/2009,,16/11/2018,Universidad privada,Res. N° 151-2018-SUNEDU/CD,Societaria,Universidad Le Cordon Bleu S.A.C. Lima Lima,-12.0987694,-77.05647119999999
62,63,Universidad Privada de Huancayo Franklin Roosevelt,Junín,Huancayo,Res. N° 571-2009-CONAFU,20/11/2009,,12/06/2019,Universidad privada,Res. N° 078-2019-SUNEDU/CD,Societaria,Universidad Privada de Huancayo Franklin Roosevelt Junín Huancayo,-12.0421667,-75.19566329999999
63,64,Universidad de Lambayeque S.A.C.,Lambayeque,Chiclayo,Res. N° 010-2010-CONAFU,14/01/2010,,21/12/2018,Universidad privada,Res. N° 169-2018-SUNEDU/CD,Societaria,Universidad de Lambayeque S.A.C. Lambayeque Chiclayo,-6.7745742,-79.8450745
64,65,Universidad de Ciencias y Artes de América Latina S.A.C.,Lima,Lima,Res. N° 011-2010-CONAFU,14/01/2010,,12/10/2016,Universidad privada,Res. N° 035-2016-SUNEDU/CD,Societaria,Universidad de Ciencias y Artes de América Latina S.A.C. Lima Lima,-12.0857224,-76.90866880000002
65,66,Universidad Peruana de Arte Orval S.A.C.,Lima,Lima,Res. N° 029-2010-CONAFU,29/01/2010,,18/10/2018,Universidad privada,Res. N° 141-2018-SUNEDU/CD,Societaria,Universidad Peruana de Arte Orval S.A.C. Lima Lima,-12.1108158,-76.99129719999999
66,67,Universidad Privada de la Selva Peruana (*10),Loreto,Maynas,Res. N° 142-2010-CONAFU,15/03/2010,,,Universidad privada,,Societaria,Universidad Privada de la Selva Peruana (*10) Loreto Maynas,-3.7546883,-73.24716320000002
67,68,Universidad Ciencias de la Salud,Arequipa,Arequipa,Res. N° 115-2010-CONAFU,15/03/2010,,,Universidad privada,,Societaria,Universidad Ciencias de la Salud Arequipa Arequipa,-16.4028927,-71.5456435
68,69,Universidad de Ayacucho Federico Froebel,Ayacucho,Huamanga,Res. N° 155-2010-CONAFU,24/03/2010,,,Universidad privada,,Societaria,Universidad de Ayacucho Federico Froebel Ayacucho Huamanga,-13.1483883,-74.22870499999999
69,70,Universidad Peruana de Investigación y Negocios S.A.C.,Lima,Lima,Res. N° 191-2010-CONAFU,08/04/2010,,29/11/2018,Universidad privada,Res. N° 157-2018-SUNEDU/CD,Societaria,Universidad Peruana de Investigación y Negocios S.A.C. Lima Lima,-12.0825755,-77.0462738
70,71,Universidad Peruana Austral del Cusco,Cusco,Cusco,Res. N° 192-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Peruana Austral del Cusco Cusco Cusco,-13.5255413,-71.9515765
71,72,Universidad Autónoma San Francisco,Arequipa,Arequipa,Res. N° 196-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Autónoma San Francisco Arequipa Arequipa,-16.4007953,-71.53905809999999
72,73,Universidad San Andrés,Lima,Lima,Res. N° 197-2010-CONAFU,08/04/2010,,04/07/2019,Universidad privada,Res. N° 087-2019-SUNEDU/CD,Societaria,Universidad San Andrés Lima Lima,-11.9905165,-77.0598493
73,74,Universidad Interamericana para el Desarrollo,Lima,Lima,Res. N° 199-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Interamericana para el Desarrollo Lima Lima,-12.0563556,-77.04450589999999
74,75,Universidad Privada Juan Pablo II,Lima,Lima,Res. N° 200-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Privada Juan Pablo II Lima Lima,-12.0211306,-76.9037173
75,76,Universidad Privada Leonardo Da Vinci S.A.C. (*11),La Libertad,Trujillo,Res. N° 202-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Privada Leonardo Da Vinci S.A.C. (*11) La Libertad Trujillo,-8.1151,-79.03193999999999
76,77,Universidad de Ingeniería y Tecnología,Lima,Lima,Res. N° 401-2011-CONAFU,12/08/2011,,25/03/2016,Universidad privada,Res. N° 015-2016-SUNEDU/CD,Asociativa,Universidad de Ingeniería y Tecnología Lima Lima,-12.1353732,-77.0220855
77,78,Universidad La Salle,Arequipa,Arequipa,Res. N° 402-2011-CONAFU,12/08/2011,,19/01/2018,Universidad privada,Res. N° 003-2018-SUNEDU/CD,Asociativa,Universidad La Salle Arequipa Arequipa,-16.424163,-71.556192
78,79,Universidad Latinoamericana CIMA,Tacna,Tacna,Res. N° 474-2011-CONAFU,22/09/2011,,,Universidad privada,,Societaria,Universidad Latinoamericana CIMA Tacna Tacna,-18.0155585,-70.242308
79,80,Universidad Privada Autónoma del Sur,Arequipa,Arequipa,Res. N° 506-2011-CONAFU,06/10/2011,,,Universidad privada,,Societaria,Universidad Privada Autónoma del Sur Arequipa Arequipa,-16.4084459,-71.5280816
80,81,Universidad María Auxiliadora,Lima,Lima,Res. N° 649-2011-CONAFU,22/12/2011,,19/10/2018,Universidad privada,Res. N° 143-2018-SUNEDU/CD,Societaria,Universidad María Auxiliadora Lima Lima,-11.97818,-77.01687
81,82,Universidad Politécnica Amazónica S.A.C.,Amazonas,Utcubamba,Res. N° 650-2011-CONAFU,22/12/2011,,,Universidad privada,,Societaria,Universidad Politécnica Amazónica S.A.C. Amazonas Utcubamba,-5.747067599999999,-78.44946809999999
82,83,Universidad Santo Domingo de Guzmán,Lima,Huarochirí,Res. N° 401-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Santo Domingo de Guzmán Lima Huarochirí,-11.9113324,-76.982951
83,84,Universidad Marítima del Perú,Callao,Callao,Res. N° 403-2012-CONAFU,25/07/2012,,18/01/2019,Universidad privada,Res. N° 004-2019-SUNEDU/CD,Societaria,Universidad Marítima del Perú Callao Callao,-12.0614627,-77.1470315
84,85,Universidad Privada Líder Peruana,Cusco,La Convención,Res. N° 404-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Privada Líder Peruana Cusco La Convención,-12.8604607,-72.6921444
85,86,Universidad Privada Peruano Alemana S.AC.,Lima,Lima,Res. N° 405-2012-CONAFU,25/07/2012,,06/08/2019,Universidad privada,Res. N° 105-2019-SUNEDU/CD,Societaria,Universidad Privada Peruano Alemana S.AC. Lima Lima,-12.1661519,-77.0236628
86,87,Universidad Global del Cusco,Cusco,Cusco,Res. N° 406-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Global del Cusco Cusco Cusco,-13.5242195,-71.9436937
87,88,Universidad Santo Tomás de Aquino de Ciencia e Integración,Junín,Huancayo,Res. N° 407-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Santo Tomás de Aquino de Ciencia e Integración Junín Huancayo,-12.0840468,-75.20848769999999
88,89,Universidad Privada SISE,Lima,Lima,Res. N° 408-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Privada SISE Lima Lima,-12.0776452,-77.0358547
89,90,Universidad Seminario Evangélico de Lima (*12),Lima,Lima,Ley N° 30220,09/07/2014,,,Universidad privada,,Asociativa,Universidad Seminario Evangélico de Lima (*12) Lima Lima,-12.0639589,-76.96007399999999
90,91,Universidad Seminario Bíblico Andino (*12),Lima,Lima,Ley N° 30220,09/07/2014,,,Universidad privada,,Asociativa,Universidad Seminario Bíblico Andino (*12) Lima Lima,-12.0696208,-77.0533978
91,92,Universidad Católica San José,Lima,Lima,Real Cédula de Fundación,12/05/1551,,,Universidad privada,,Asociativa,Universidad Católica San José Lima Lima,-12.0836816,-77.0691681
